"","CTeA.blood..ng.mL.","Est..dose..ug.Kg.d.","Fraction.TTC","HQ","ProbMOE.le.1"
"Median",0.37595,14.256024,9.504016,3.82969391385432,1.59
"5th",0.1898,7.197216,4.798144,1.9334377040818,0
"95th",1.96954,74.6849568,49.7899712,20.0631343292795,22.152
"25th",0.28105,10.657416,7.104944,2.86297506181343,0.6
"75th",0.680725,25.813092,17.208728,6.93434868867798,5.385
"Min",0.1898,7.197216,4.798144,1.9334377040818,0
"Max",12.0669,457.576848,305.051232,122.922020186431,100
