"prob_gron","prob_todd","prob_epcon","prob_u.asam","prob_u.dr"
8.09,25.58,1.44,0,0
2.65,6.2,0.86,0,0
0.03,0,0,0,0
0.68,1.2,0.03,0,0
0,0,0,0,0
4.61,17.18,0.05,0,0
1.38,0.3,0,0,0
5.55,13.15,2.19,0.03,0.03
1.1,2.56,0.02,0,0
5.2,11.23,2.81,0.05,0.07
6.51,16.29,3.12,0,0.01
0.02,0,0,0,0
0.48,0.8,0,0,0
5.54,23.22,0.3,0,0
51.35,76.32,42.31,0.12,0.25
12.49,35.15,3.95,0,0
0,0,0,0,0
1.14,2.24,0.04,0,0
3.16,11.98,0.02,0,0
1.83,5.26,0.07,0,0
1.97,4.79,0,0,0
1.95,4.4,0.1,0,0
16.87,49.51,1.8,0,0
0.24,0,0,0,0
1.14,2.87,0.02,0,0
9.42,22.72,3.78,0.02,0.03
0.36,0.51,0,0,0
4.26,13.36,0.67,0,0
1.04,0,0,0,0
4.11,12.79,0.66,0,0
0.66,1.32,0.13,0,0
1.81,5.23,0.01,0,0
11.71,33.22,4.02,0.01,0.04
0.71,0.78,0,0,0
5.43,12.51,2.3,0.01,0.08
0.57,1.21,0.02,0,0
3.39,14.89,0,0,0
4.14,9.73,2.27,0.04,0.02
0.59,0.68,0,0,0
1.59,4.04,0.03,0,0
2.53,6.87,0.07,0,0
0.94,0,0,0,0
0.08,0,0,0,0
4.88,15.88,0.72,0,0
0.13,0,0,0,0
0.93,0,0,0,0
6.73,29.77,0.03,0,0
0.6,0.75,0,0,0
2.62,8.15,0,0,0
1.25,0,0,0,0
0.01,0,0,0,0
0.92,0.12,0,0,0
0.34,0,0,0,0
0.65,1.55,0.09,0,0
13.92,24.81,9.04,0.26,0.24
1.52,2.69,0,0,0
8.27,31.61,0.73,0,0
0.86,0.86,0,0,0
6.07,22.7,0.45,0,0
0.92,1.35,0,0,0
0.34,0.56,0.02,0,0
2.36,7.91,0,0,0
1.02,0.02,0,0,0
1.07,1.19,0,0,0
1.04,0.02,0,0,0
1.86,4.47,0,0,0
14.08,43.64,1.14,0,0
0.64,0.05,0,0,0
1.25,0,0,0,0
9.1,17.35,5.54,0.16,0.21
4.43,19.89,0.06,0,0.01
1.68,3.43,0,0,0
1.18,0.29,0,0,0
5.16,12.45,2.22,0.01,0.01
1.56,0.96,0,0,0
0.47,0.62,0,0,0
0.79,1.82,0.01,0,0
0.87,1.82,0,0,0
0,0,0,0,0
1.36,0,0,0,0
20.29,45.51,10.47,0,0.01
3.79,15.54,0,0,0
2.15,3.85,0,0,0
3.33,10.14,0.45,0,0
13.62,36.8,5.4,0,0.02
25.64,53.2,14.88,0,0.02
1.2,1.93,0,0,0
4.41,20.38,0,0,0
0.03,0,0,0,0
1.57,4.9,0.12,0,0
0.39,0.21,0,0,0
0.9,1.52,0,0,0
1.1,2.51,0.01,0,0
0.97,0,0,0,0
0.35,0.23,0,0,0
1.08,0,0,0,0
2.22,6.11,0.36,0,0
2.35,8.12,0.06,0,0
1.21,0.03,0,0,0
0.16,0,0,0,0
0,0,0,0,0
15.63,42.14,1.25,0,0
2.13,4.97,0,0,0
0.46,0,0,0,0
0,0,0,0,0
1.6,4.27,0.08,0,0
1.03,2.67,0.11,0,0
0.43,0.38,0,0,0
4.82,17.98,0.38,0,0
0.25,0.18,0,0,0
0.31,0,0,0,0
0.16,0.03,0,0,0
0,0,0,0,0
0.06,0,0,0,0
3.54,19.08,0,0,0
1.66,4.31,0.09,0,0
0.01,0,0,0,0
1.16,1.08,0,0,0
12.73,40.14,0,0,0
23.27,45.66,14.52,0.13,0.21
0.74,1.02,0.01,0,0
0.6,1.07,0.01,0,0
0,0,0,0,0
6.29,39.73,0,0,0
5.51,27.04,0,0,0
2.68,8.53,0.09,0,0
0,0,0,0,0
0,0,0,0,0
5.56,14.39,2.09,0,0.02
0.12,0,0,0,0
0.23,0.61,0,0,0
0,0,0,0,0
0.38,0.06,0,0,0
1.76,3.99,0,0,0
0.31,0.3,0,0,0
4.71,23.17,0,0,0
0.9,0.35,0,0,0
2.64,8.19,0.5,0,0
1,0,0,0,0
0.81,0.17,0,0,0
0.03,0,0,0,0
11.56,21.49,7.24,0.27,0.22
0.29,0.3,0,0,0
34.85,46.71,28.87,3.33,2.9
7.84,21.22,2.41,0,0.04
2.18,5.39,0.59,0,0
0,0,0,0,0
16.62,44.68,5.06,0,0
0.24,0.11,0,0,0
0.22,0.28,0,0,0
0,0,0,0,0
19.01,39.86,11.19,0.04,0.04
0.16,0.06,0,0,0
6.35,26.54,0.22,0,0
5.31,21,0.16,0,0
1.01,0.09,0,0,0
0.77,0,0,0,0
3.04,7.27,1.33,0.02,0.03
9.4,26.56,3.13,0,0
9.05,26.03,2.54,0.01,0
0.99,0,0,0,0
0.79,1.96,0.13,0,0
2.59,8.02,0,0,0
1.39,1.01,0,0,0
1.4,2.3,0,0,0
0.47,0.06,0,0,0
1.13,0,0,0,0
8.9,39.84,0,0,0
1.17,1.52,0,0,0
33.49,60.25,25.86,0,0.02
0,0,0,0,0
0.89,1.6,0,0,0
27.7,43.43,20.31,1.01,1
8.71,32.22,0.77,0,0
13.88,40.99,0.39,0,0
3.27,18.12,0,0,0
0.01,0,0,0,0
0.12,0.28,0,0,0
1.17,0.19,0,0,0
0.16,0,0,0,0
22.23,43.89,12.8,0.05,0.09
7.77,37.02,0.01,0,0
1.02,0,0,0,0
7.46,24.1,1.46,0,0
0.09,0.13,0,0,0
0.42,0.73,0.02,0,0
12.2,40.93,0.55,0,0
1.99,7,0.02,0,0
4.82,23.44,0,0,0
1.75,2.19,0,0,0
4.73,23.03,0,0,0
1.46,3.43,0.04,0,0
1.36,0,0,0,0
6.5,40.26,0,0,0
0,0,0,0,0
1.03,0,0,0,0
0.31,0.45,0,0,0
0.23,0,0,0,0
0.59,0.04,0,0,0
16.63,50.72,1.35,0,0
1.21,0.27,0,0,0
2.47,8.67,0.05,0,0
8.82,23.35,2.97,0.02,0
0.75,0.68,0,0,0
8.78,29.19,1.56,0,0
18.22,47.79,7.01,0,0.02
1.47,1.82,0,0,0
1.06,0,0,0,0
2.27,7.45,0.01,0,0
0,0,0,0,0
0.62,0.85,0.02,0,0
0.28,0.09,0,0,0
1.01,0,0,0,0
3.39,11.7,0.02,0,0
0.33,0,0,0,0
8.21,16.97,4.37,0.05,0.06
3.13,8.23,0.79,0,0
20.12,35.96,14.32,0.33,0.27
2.56,6.64,0.13,0,0
6.25,20.94,1.01,0,0
25.68,51.68,14.18,0.05,0.11
3.67,11.24,0.82,0,0
0,0,0,0,0
0.02,0,0,0,0
0.9,0.03,0,0,0
4.25,13.41,0.76,0,0
2.13,8.43,0,0,0
27.89,58.99,11.23,0,0.01
2.01,3.89,1.04,0.03,0.01
0.94,1.31,0,0,0
14.18,43.32,0.49,0,0
5.73,10.7,3.58,0.12,0.11
0.28,0,0,0,0
8.51,18.13,4.2,0.07,0.08
1.33,2.93,0,0,0
6.18,11.24,3.81,0.23,0.21
0.85,0.2,0,0,0
2.15,7.34,0,0,0
0,0,0,0,0
2.17,6.68,0,0,0
0.75,0.03,0,0,0
0.32,0.17,0,0,0
0.04,0,0,0,0
0,0,0,0,0
5.16,21.14,0.27,0,0
1.07,0.07,0,0,0
3.11,5.86,1.54,0.01,0.03
47.3,65.72,37.95,0.58,0.7
11.53,22.86,6.95,0.03,0.09
0.76,1.42,0.11,0,0
3.44,11.18,0.17,0,0
4.89,9.93,2.94,0.1,0.11
7.02,15.43,3.12,0.03,0.04
0,0,0,0,0
0.01,0,0,0,0
16.46,43.43,5.7,0,0
1.93,5.45,0.29,0,0
7.38,15.34,3.42,0.1,0.09
0,0,0,0,0
0.95,0,0,0,0
1.36,0.88,0,0,0
1.86,5.51,0.12,0,0
0.18,0.09,0,0,0
8.35,15.66,5.06,0.11,0.1
3.38,8.6,1.06,0,0.01
0.48,0,0,0,0
1.19,0,0,0,0
13.62,39.33,3.33,0,0
6.16,30.04,0,0,0
8.73,30.92,0.73,0,0
0.96,2.35,0.24,0,0.01
26.41,51.28,15.85,0,0
0.19,0.27,0,0,0
54.01,73.18,45.14,1.63,1.68
49.65,73.04,39.01,0.08,0.15
0,0,0,0,0
19.52,49.85,4.73,0,0
0.95,0.23,0,0,0
7.05,29.89,0.06,0,0
1.54,3.28,0,0,0
1.24,0,0,0,0
0.83,0,0,0,0
22.27,59.24,2.21,0,0
0.33,0.44,0,0,0
1.13,0,0,0,0
2.98,14.44,0,0,0
0.69,0.47,0,0,0
1.11,2.47,0.01,0,0
1.04,2.26,0.02,0,0
0,0,0,0,0
0.97,0.06,0,0,0
0.54,0.04,0,0,0
0,0,0,0,0
26.99,54.39,14.08,0.01,0.04
0.81,1.48,0.04,0,0
1.48,0.7,0,0,0
12.58,30.32,5.43,0.01,0.02
2.46,9.42,0.02,0,0
18.53,34.74,11.8,0.14,0.17
1.47,3.18,0,0,0
13.88,43.47,0.77,0,0
12.33,41.33,1.74,0,0.01
8.8,17.73,5.56,0.18,0.2
4.97,10.79,2.53,0.04,0.01
4.4,12.27,1.12,0,0.01
1.56,3.92,0,0,0
4.73,13.77,1.12,0,0
0.15,0,0,0,0
0.9,0,0,0,0
1.39,0.06,0,0,0
9.52,27.82,3.03,0.01,0.03
0,0,0,0,0
0.82,0.74,0,0,0
0.86,0,0,0,0
1.21,0,0,0,0
1.84,5.24,0.13,0,0
1.37,1.29,0,0,0
2.12,4.47,0,0,0
7.03,15.26,3.97,0.13,0.12
0.22,0,0,0,0
1.56,1.98,0,0,0
0.46,0.02,0,0,0
4.26,10.6,1.35,0,0
6.62,16.94,2.73,0.02,0.04
6.66,15.03,3.6,0.02,0.07
15.24,29.94,8.62,0.08,0.09
5.86,23.51,0.49,0,0
0.01,0,0,0,0
1.02,0,0,0,0
4.24,14.21,0.48,0,0
0.29,0.04,0,0,0
1.22,3.14,0.28,0,0
1.45,1.69,0,0,0
5.73,18.12,0.81,0,0
21.57,32.79,16.21,1.45,1.34
0.67,0.01,0,0,0
0,0,0,0,0
14.11,42.39,2.08,0,0
1.92,0.69,0,0,0
0.77,0.34,0,0,0
3.29,10.74,0.07,0,0
0.91,0,0,0,0
0.99,1.12,0,0,0
1.21,0.33,0,0,0
2.9,12.02,0,0,0
6.9,37.85,0,0,0
1.3,0.1,0,0,0
0.91,2.21,0.12,0,0
4.28,9.03,2.39,0.06,0.04
13.59,34.22,5.93,0,0
0.74,0.16,0,0,0
1.55,4.28,0.15,0,0
1.23,0.93,0,0,0
2.98,5.86,1.63,0.01,0.05
2.54,8.55,0,0,0
21.64,37.23,14.09,0.24,0.25
7.42,32.76,0.12,0,0
0.79,1.66,0.12,0,0
2.64,10.48,0.01,0,0
1.13,0,0,0,0
6.2,17.45,1.89,0.02,0.03
2.36,7.69,0.06,0,0
2.12,7.05,0.08,0,0
0.45,0,0,0,0
9.1,19.81,4.61,0.06,0.07
1.3,3.6,0.11,0,0
1.52,3.11,0.59,0,0
0,0,0,0,0
0.94,0,0,0,0
1.34,4.14,0.05,0,0
0.95,2.06,0.01,0,0
2.21,6.39,0,0,0
2.76,9.56,0,0,0
2.72,8.97,0.08,0,0
9.5,17.82,5.71,0.12,0.15
0.95,0,0,0,0
2.44,7.41,0,0,0
1.15,1.65,0,0,0
0.04,0,0,0,0
0,0,0,0,0
33.72,63.34,21.63,0,0
0,0,0,0,0
11.82,24.26,6.71,0.06,0.07
0.2,0,0,0,0
0.64,1.14,0,0,0
1.51,1.45,0,0,0
1.19,1.09,0,0,0
4.49,10.71,1.5,0,0.01
20.8,30.77,16.76,1.6,1.42
1.07,0.2,0,0,0
0.37,0.12,0,0,0
13.07,24.19,8.2,0.09,0.1
4.48,19.32,0.02,0,0
0.65,1.44,0.12,0,0
11.13,31.27,3.35,0,0
19.16,40.53,10.39,0.1,0.1
0.64,0.87,0,0,0
1.99,6.02,0.08,0,0
0.3,0.59,0,0,0
2.76,9.5,0.03,0,0
0.51,0.22,0,0,0
0.13,0.06,0,0,0
1.99,5.84,0.4,0,0
0,0,0,0,0
0.1,0,0,0,0
1.89,5.61,0.21,0,0
3.03,14.88,0,0,0
1.04,2.59,0,0,0
1.4,4.12,0.09,0,0
0.41,0.19,0,0,0
79.34,100,79.45,0,0.03
8.3,35.78,0.01,0,0
3.96,9.18,1.74,0.01,0.02
10.87,33.14,2.32,0,0
0,0,0,0,0
11.3,39.83,0.64,0,0
2.02,5.63,0.54,0,0
1.62,1.75,0,0,0
0.25,0.35,0,0,0
0.92,1.15,0,0,0
10.96,20.94,7.01,0.28,0.27
7.34,14.45,4.08,0.17,0.22
54.75,78.99,48.34,0,0.03
0,0,0,0,0
0.48,0.9,0,0,0
4.71,19.96,0.04,0,0
1.53,4.08,0.03,0,0
12.86,32.82,5.38,0.04,0.04
3.49,16.42,0.01,0,0
0.37,0.6,0,0,0
1.2,1.39,0,0,0
4.49,12.27,1.08,0,0
0.76,1.87,0.04,0,0
0.48,0,0,0,0
1.96,4.91,0.2,0,0
3.16,10.24,0.04,0,0
12.58,26.03,6.45,0.09,0.14
42.21,61.12,33.63,0.73,0.96
15.42,42.73,4.36,0,0
0,0,0,0,0
1.1,1.76,0,0,0
3.09,9.9,0.56,0,0
1.14,2.47,0.05,0,0
6.87,19.44,1.91,0,0.02
0.85,0.87,0,0,0
9.4,20.45,5.46,0.11,0.08
16.94,28.11,11.8,0.23,0.22
11.36,25.99,5.52,0.02,0.07
1.31,0.56,0,0,0
2.91,12.15,0,0,0
39.12,56.62,29.82,1.09,1.28
1.13,0.24,0,0,0
1.17,0.77,0,0,0
0,0,0,0,0
2.35,6.23,0.66,0,0
11.62,29.36,4.35,0,0
3.34,9.36,0.44,0,0
2.26,6.77,0.41,0,0
14.01,25.08,9.22,0.24,0.31
1.95,5.6,0,0,0
1.58,3.96,0.09,0,0
0.52,0.23,0,0,0
6.48,32.71,0,0,0
0.82,1.05,0,0,0
0.02,0,0,0,0
0,0,0,0,0
1.52,0.51,0,0,0
1.33,0.44,0,0,0
0.91,0,0,0,0
15.83,37.03,6.72,0.03,0.05
3.98,16.26,0.06,0,0
3.31,8.76,0.6,0,0
0.43,0,0,0,0
32.01,47.26,24.72,1.44,1.21
0.01,0,0,0,0
33.77,56.12,23.62,0.13,0.2
1.73,4.36,0.17,0,0
0.54,0.53,0,0,0
0.98,0.41,0,0,0
1.26,0,0,0,0
1.03,1.42,0,0,0
13.73,23.88,9.72,0.45,0.36
0.75,0,0,0,0
0,0,0,0,0
0.41,0.77,0,0,0
8.57,17.84,4.73,0.06,0.07
0.29,0.22,0,0,0
3.39,8.32,1.39,0.01,0.01
0,0,0,0,0
5.28,21.25,0.26,0,0
2.73,10.32,0,0,0
0.49,1.29,0.05,0,0
0.51,0.57,0,0,0
0.06,0.11,0,0,0
1.37,0.18,0,0,0
47.25,58.7,40.82,10.38,8.96
7.45,33.66,0.16,0,0
20.7,47.72,10.58,0,0.02
1.43,2.63,0.21,0,0
0.3,0.07,0,0,0
1.25,2.56,0.07,0,0
3.5,11.01,0.2,0,0
0.04,0.07,0,0,0
1.21,0,0,0,0
0.04,0,0,0,0
1.06,0,0,0,0
2.02,5.65,0,0,0
6.8,24.16,0,0,0
1.93,5.21,0.1,0,0
7.12,15.36,3.28,0.01,0
0.49,0.82,0,0,0
5.62,18.53,0.71,0,0
0.67,1.84,0.16,0,0
2.73,9.72,0.07,0,0
64.03,76.69,55.68,2.34,2.08
5.79,19.92,0.69,0,0
1.13,2.16,0,0,0
10.75,23.8,5.88,0.01,0.07
0.52,0.48,0,0,0
6.65,28.62,0.04,0,0
32.4,50.47,24.29,0.76,0.76
0.5,0.18,0,0,0
5.51,26.48,0,0,0
2.9,10.01,0.06,0,0
0.22,0.08,0,0,0
1.23,0,0,0,0
1.94,5.24,0.5,0,0
21.49,47.29,10.62,0,0.03
16.55,42.83,5.77,0,0
1.14,0,0,0,0
0.58,0.05,0,0,0
2.12,5.38,0.46,0,0
1.22,1.99,0,0,0
1.63,2.75,0,0,0
1.44,3.75,0,0,0
0,0,0,0,0
1.33,2.76,0.01,0,0
6.84,32.51,0.02,0,0
0,0,0,0,0
0.73,0.21,0,0,0
7.19,18.71,2.96,0,0
11.13,39.47,0.02,0,0
1.71,5.63,0.06,0,0
0.73,1.57,0.03,0,0
13.4,28.41,7.49,0.12,0.09
43.27,57.61,35.5,3.68,3.03
3.1,9.34,0.15,0,0
2.18,7.25,0.04,0,0
0.56,0.7,0,0,0
2.61,7.61,0.14,0,0
0.73,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7.73,28.44,0.46,0,0
0.19,0.05,0,0,0
0.28,0.25,0,0,0
8.08,22.13,2.39,0,0.01
1.1,1.17,0,0,0
2.41,5.7,0.42,0,0.01
11.27,25.2,5.36,0.02,0.03
0.01,0,0,0,0
0.73,0.03,0,0,0
0,0,0,0,0
7.59,18.82,2.98,0,0.04
9.71,31.65,1.76,0,0
0.02,0.01,0,0,0
2.72,8.51,0.31,0,0
4.61,11.28,2.02,0,0.01
3.59,9.7,0.74,0,0
1.15,0,0,0,0
1.05,0,0,0,0
0.33,0,0,0,0
0,0,0,0,0
4.38,17,0.35,0,0
0.31,0.46,0,0,0
1.35,0.13,0,0,0
0.01,0,0,0,0
0.02,0,0,0,0
9.08,24.14,2.93,0,0
1.28,3.02,0.01,0,0
46.03,70.9,35.03,0.04,0.12
4.48,17.4,0.21,0,0
0.6,0.13,0,0,0
1.45,3.27,0.02,0,0
0.8,2.18,0.04,0,0
1.07,0,0,0,0
1.38,0,0,0,0
0.12,0,0,0,0
0.03,0,0,0,0
36.7,60.44,33.37,0,0
3.96,20.43,0,0,0
0,0,0,0,0
1.33,3.66,0.06,0,0
0,0,0,0,0
0.43,0.92,0,0,0
0.15,0,0,0,0
13.98,31.52,6.28,0,0.05
0.49,0.02,0,0,0
6.49,15.5,2.86,0.03,0.04
4.03,10.19,1.56,0.01,0.02
0.7,1.82,0.04,0,0
0.89,0,0,0,0
8.77,24.14,2.98,0,0.02
1.43,1.06,0,0,0
0.31,0.56,0,0,0
3.3,9.64,0.29,0,0
15.8,45.67,3.2,0,0
1.32,0.4,0,0,0
0.75,1.41,0,0,0
0,0,0,0,0
1.39,3.75,0.14,0,0
28.72,45.96,21.02,0.69,0.52
6.02,30.44,0,0,0
0.02,0,0,0,0
5.92,20,0.76,0,0
0.1,0,0,0,0
11.59,23.94,6.61,0.07,0.17
0,0,0,0,0
90.6,96.77,81.83,2.1,2.78
3.24,10.09,0.67,0,0
11.71,28.8,5.19,0.01,0
1.87,4.51,0.07,0,0
0,0,0,0,0
28.01,45.26,19.89,0.19,0.29
0.22,0.14,0,0,0
10.94,32.19,2.61,0,0.01
3.58,16.46,0,0,0
3.11,7.81,0.71,0,0
3.67,10.1,0.52,0,0
0.46,0.59,0,0,0
9.64,36.72,0.34,0,0
4.46,13.89,0.85,0,0
3.13,20,0,0,0
13.09,31.73,6.29,0,0
3.31,14.45,0,0,0
3.33,15.06,0,0,0
0,0,0,0,0
0,0,0,0,0
4.66,24.83,0.01,0,0
80.89,100,80.8,0,0.16
2.18,7.06,0.03,0,0
2.49,7.88,0,0,0
1.73,4.26,0.08,0,0
5.9,13.33,2.79,0,0.01
6.27,22.81,0.57,0,0
1.64,3.47,0,0,0
11.03,25.13,5.44,0.04,0.01
1.99,6.72,0,0,0
3.51,16.89,0.01,0,0
1.39,1.19,0,0,0
1.74,4.91,0.13,0,0
2.55,6.7,0.63,0,0.01
1.19,0.22,0,0,0
0.61,0,0,0,0
0,0,0,0,0
2.02,5.93,0.03,0,0
3,5.79,1.57,0.09,0.11
11.69,37.6,1.22,0,0
0.84,1.08,0,0,0
0,0,0,0,0
2.04,0.16,0,0,0
0.16,0.02,0,0,0
3.98,9.91,1.43,0.02,0.02
17.26,44.38,6.85,0,0.01
8.11,23.04,2.51,0,0.01
4.22,11.26,1.17,0,0.01
0.7,0,0,0,0
0,0,0,0,0
3.72,8.55,1.47,0.01,0.02
8.28,20.18,3.43,0.01,0.03
0.22,0.52,0,0,0
2.72,9.09,0,0,0
8.84,25.1,2.66,0.04,0.07
15.59,43.31,3.22,0,0
2.23,7.18,0,0,0
2.01,5.76,0,0,0
1.94,5.97,0.01,0,0
0.56,0.22,0,0,0
0.77,1.8,0.13,0,0
0,0,0,0,0
0,0,0,0,0
3.31,7.42,1.14,0,0.02
1.16,1.56,0,0,0
13.3,28.2,7.16,0.02,0.02
1.21,2.13,0.08,0,0
2.64,13.82,0,0,0
1.92,5.64,0.15,0,0
3.79,17.05,0,0,0
3.77,17.42,0.02,0,0
4.13,18.73,0.01,0,0
0.05,0.03,0,0,0
18.77,37.64,10.51,0.14,0.11
0.04,0,0,0,0
3.34,20.29,0,0,0
2.68,5.94,0.75,0,0
0,0,0,0,0
11.13,36.04,1.71,0,0
2.38,12.12,0,0,0
0,0,0,0,0
0.54,0,0,0,0
1.73,5.06,0.03,0,0
8.96,36.35,0.07,0,0
0.59,0.06,0,0,0
58.36,70.93,50.7,8.67,7.07
12.8,41.13,1.96,0,0
1.1,0,0,0,0
0.27,0,0,0,0
0,0,0,0,0
3.17,12.86,0,0,0
4.39,22.34,0,0,0
1.01,0,0,0,0
6.63,18.56,1.99,0,0
47.29,68.09,37.43,0.36,0.47
15.41,36.34,6.56,0.02,0.04
1.64,4.77,0,0,0
4.41,22.73,0,0,0
1.43,0.47,0,0,0
1.41,3.53,0,0,0
2.11,6.48,0.02,0,0
5.77,22.96,0.66,0,0
1.52,4.12,0.05,0,0
47.18,65.21,37.24,1.04,1.09
8.78,37.5,0.01,0,0
0.24,0.06,0,0,0
1.04,1.59,0.01,0,0
0.03,0,0,0,0
0.29,0.4,0,0,0
0,0,0,0,0
13.1,42.52,1.19,0,0
7.19,18.26,2.67,0.02,0.03
3.78,8.52,1.39,0,0.01
0,0,0,0,0
1.1,0,0,0,0
24.46,37.35,18.47,1.22,1.18
0,0,0,0,0
28.41,40.58,21.61,1.34,1.13
1.34,0.19,0,0,0
6.1,11.39,3.66,0.05,0.05
1.74,4,0,0,0
2.58,8.6,0.06,0,0
0.64,0.59,0,0,0
0.25,0,0,0,0
0.03,0.02,0,0,0
0.98,0,0,0,0
0.54,0,0,0,0
0.1,0,0,0,0
15.08,31.74,8.32,0.03,0.03
0.05,0,0,0,0
1.2,0,0,0,0
0.55,0.48,0,0,0
5.63,22.43,0.19,0,0
2.07,5.77,0,0,0
10.07,31.15,1.68,0,0.04
0.86,0,0,0,0
1.18,0,0,0,0
1.11,0,0,0,0
0.83,0.27,0,0,0
0,0,0,0,0
8.47,24.98,1.64,0.03,0.03
3.56,19.45,0,0,0
23.7,38.6,17.13,0.35,0.38
1.28,3.22,0.01,0,0
0.18,0.2,0,0,0
0.67,0.31,0,0,0
8.15,39.6,0,0,0
25.21,46.61,16.51,0.05,0.05
0.01,0,0,0,0
4.65,15.91,0.47,0,0
2.99,10.5,0.28,0,0
1.08,0,0,0,0
1.71,5.1,0.15,0,0
0,0,0,0,0
0.14,0,0,0,0
0.41,0.64,0,0,0
5.2,14.9,1.38,0,0
0.34,0,0,0,0
0.44,0.95,0,0,0
48.36,71.63,38.1,0.08,0.27
1.95,0.03,0,0,0
2.58,8.17,0.36,0,0
0.88,2.03,0.08,0,0
5.57,18.45,0.77,0,0
1.24,3.56,0.16,0,0
0.08,0.01,0,0,0
0.56,1.12,0.03,0,0
2.14,5.51,0.38,0,0
0,0,0,0,0
1.01,0.05,0,0,0
0.69,0,0,0,0
1.05,1.89,0,0,0
40.16,59.94,29.3,0.12,0.26
0.3,0.56,0.01,0,0
14.06,43.5,2.53,0,0
1.92,4.73,0.26,0,0
2.15,5.59,0.37,0,0
14.76,33.84,6.81,0,0.02
3.37,17.76,0,0,0
18.96,40.77,10.28,0,0
0.04,0,0,0,0
4.1,20.03,0,0,0
7.23,18.14,2.4,0,0
0.28,0,0,0,0
1.7,2.44,0,0,0
15.07,40.24,5.69,0,0.02
29.63,50.91,21.16,0.12,0.22
49,74.73,41.63,0.02,0.14
0.32,0.06,0,0,0
2.87,10.91,0.04,0,0
0.62,0.46,0,0,0
1.21,0.29,0,0,0
1.8,5.91,0.1,0,0
0.03,0.01,0,0,0
0.02,0,0,0,0
3.31,10.36,0.06,0,0
17.94,40.78,7.79,0,0.02
0.06,0,0,0,0
1.71,3.85,0,0,0
1.02,0,0,0,0
4.68,22.78,0.01,0,0
4.43,19.7,0,0,0
4.92,24.5,0.01,0,0
0.96,0,0,0,0
5.23,24.51,0.01,0,0
15.61,47.04,1.21,0,0
1.14,0.1,0,0,0
0,0,0,0,0
1.9,2.86,0,0,0
13.7,24.02,8.69,0.5,0.52
23.22,49.51,11.83,0,0.02
7.71,29.15,0.56,0,0
5.68,18.55,1.04,0,0.02
28.62,57.49,16.97,0,0
3.6,20.49,0,0,0
2.32,7.16,0,0,0
9.13,35.9,0.38,0,0
0.02,0,0,0,0
0.22,0.43,0,0,0
21.04,51.86,7.64,0,0
1.18,1.85,0,0,0
0.6,0.37,0,0,0
0.41,0.21,0,0,0
0.15,0.03,0,0,0
0.13,0.1,0,0,0
20.62,35.68,15.08,0.47,0.47
18.27,48.53,2.26,0,0
0.42,0.35,0,0,0
0.71,0.57,0,0,0
0.61,0.66,0,0,0
9.45,40.81,0,0,0
0.98,0.81,0,0,0
42.29,66.13,31.8,0.1,0.12
4.42,12.42,1.46,0.03,0
19.84,47.9,8.41,0.08,0.28
0,0,0,0,0
3.67,9.95,1.35,0,0.01
2.32,9.32,0,0,0
2.65,5.73,1.35,0.05,0.02
2.36,7.66,0.08,0,0
0.31,0,0,0,0
7.54,20.89,2.31,0,0.01
0.86,1.82,0.03,0,0
2.14,5.86,0,0,0
4.08,17.37,0.01,0,0
0.11,0.01,0,0,0
70.83,85.59,61.17,1.83,1.66
0,0,0,0,0
0.99,0,0,0,0
7.53,16.31,4.02,0.05,0.05
1.01,0.15,0,0,0
1.47,2.15,0,0,0
7.98,33.48,0.36,0,0
8.1,20.86,3.17,0,0
1.04,0.76,0,0,0
23.6,43.84,14.82,0.1,0.22
0.15,0.01,0,0,0
3.18,8.25,0.97,0,0.01
0.02,0,0,0,0
0,0,0,0,0
2.02,6.3,0,0,0
1.91,4.63,0,0,0
2.37,7.73,0,0,0
5.65,19.89,0.36,0,0
8.07,20.91,2.77,0,0.01
0,0,0,0,0
0,0,0,0,0
1.11,0.18,0,0,0
1.88,2.47,0,0,0
0.11,0,0,0,0
10.67,26.08,3.99,0,0
2.08,5.9,0.03,0,0
0.56,0.65,0,0,0
2.16,5.23,0.62,0,0.01
1.04,2.32,0.2,0,0
1.28,3.13,0.07,0,0
1.45,3.45,0.1,0,0
12.61,25.46,7,0.07,0.08
0,0,0,0,0
5.34,22.67,0.08,0,0
2.47,8.3,0.26,0,0
3.83,12.62,0.25,0,0
0.12,0.03,0,0,0
0,0,0,0,0
9.4,17.9,5.46,0.1,0.11
0.67,1.34,0,0,0
4.66,13.74,1.06,0.01,0.02
0.16,0.01,0,0,0
4.08,10.85,1.81,0.01,0.02
0,0,0,0,0
31.75,60.78,17.24,0,0
0.96,0.39,0,0,0
1.16,0,0,0,0
1.32,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12.89,24.98,7.42,0.07,0.05
20.77,39.88,12.2,0.05,0.06
0.46,0.2,0,0,0
1.46,4.32,0.21,0,0
3.01,8.41,0.69,0,0
0.38,0.72,0,0,0
8.03,25.82,1.38,0,0
3.19,10.77,0.09,0,0
2.27,6.61,0.35,0,0
4.1,10.23,0.99,0,0
0.48,0.34,0,0,0
24.77,47.2,15.61,0.04,0.08
3.57,9.79,1.09,0,0.02
0.72,0.58,0,0,0
27.74,54.19,15.74,0.1,0.21
7.84,16.28,4.09,0.09,0.04
1.09,0,0,0,0
