"prob_gron","prob_todd","prob_epcon","prob_u.asam","prob_u.dr"
38.91,60.12,29.31,0.14,0.28
1.63,4.24,0.22,0,0
0.78,0,0,0,0
1.04,0.14,0,0,0
36.96,66.45,24.62,0,0.1
6.14,18.11,1.67,0,0
8.98,22.15,3.36,0,0.01
0.1,0,0,0,0
22.65,40.74,14.96,0.06,0.1
3.91,13.14,0.4,0,0
4.65,14.62,0.44,0,0
7.76,20.32,2.73,0,0
0.83,1.96,0,0,0
5.24,15.64,0.91,0,0.01
13.29,24.98,9.64,0.09,0.11
4.13,10.05,1.5,0,0
4.11,11.69,1.05,0,0.01
1.55,3.38,0.01,0,0
2.11,5.64,0,0,0
0.59,0.01,0,0,0
1.79,4.28,0.08,0,0
0.01,0,0,0,0
0.17,0.16,0,0,0
2.31,7.16,0,0,0
0,0,0,0,0
1.22,0,0,0,0
12.36,27.5,5.9,0.01,0.08
0.95,2.49,0.08,0,0
0.07,0,0,0,0
20.87,42.7,12.33,0.01,0.04
3.33,10.21,0.21,0,0
2.95,9.22,0.38,0,0
2.21,12.26,0,0,0
2.01,5.07,0,0,0
5.74,11.72,2.73,0.02,0.05
5.59,19.59,0.56,0,0
5,13.89,1.83,0.01,0.01
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3.42,7.05,1.32,0.02,0.01
2.7,7.26,0.51,0,0
17.35,33.73,10.27,0.1,0.05
0.2,0.06,0,0,0
1.66,3.52,0,0,0
0,0,0,0,0
0.34,0.29,0,0,0
0.25,0.44,0.01,0,0
0,0,0,0,0
0.81,0.38,0,0,0
0.08,0,0,0,0
18.79,51.7,2.16,0,0
0.92,1.58,0,0,0
0,0,0,0,0
2.92,6.78,1.16,0,0
2.2,5.37,0.52,0,0
1.67,3.48,0.11,0,0
2.66,8.63,0.01,0,0
1.92,3.36,0.01,0,0
1.47,0.85,0,0,0
0,0,0,0,0
1.36,1.31,0,0,0
10.35,25.05,4.67,0.02,0.02
1.04,0,0,0,0
4.48,21.57,0,0,0
36.18,57.74,27.4,0.74,0.9
2.1,5.94,0.02,0,0
1.66,4.83,0,0,0
5.06,25.66,0,0,0
3.08,20.33,0,0,0
17.69,55.25,1.73,0,0
0.04,0,0,0,0
0.61,0.37,0,0,0
1.14,0.48,0,0,0
10.04,32.51,1.9,0,0.01
1.29,0,0,0,0
7.57,16.64,4.26,0,0
0.78,1.74,0.05,0,0
2.25,8.59,0,0,0
5.47,10.75,3.23,0.09,0.1
0,0,0,0,0
39.48,66.8,27.01,0,0.03
52.5,74.04,42.45,0.09,0.28
1.07,2.32,0.09,0,0
17.61,41.38,8.94,0,0.04
3.94,11.37,0.57,0,0
16.7,36.69,8.75,0.05,0.03
6.97,18.68,2.69,0,0
2.55,9.43,0.06,0,0
1.06,0.14,0,0,0
3.17,12.19,0,0,0
4.46,15.92,0.22,0,0
0.53,0,0,0,0
4.82,13.18,1.73,0,0
0.02,0,0,0,0
2.98,10.19,0.18,0,0
1.15,0,0,0,0
0.78,1.12,0,0,0
3.45,10.72,0.47,0,0
0,0,0,0,0
12.31,24.51,7.23,0.11,0.21
1.17,0,0,0,0
40.25,57.83,30.86,0.85,0.84
1,0.27,0,0,0
0.93,1.73,0.05,0,0
1.63,3.17,0.01,0,0
4.69,17.83,0.04,0,0
9.62,34.03,1.42,0,0
1.33,1.06,0,0,0
1.02,0.08,0,0,0
0.93,1.56,0,0,0
1.25,0,0,0,0
1.83,5.05,0.1,0,0
1.5,4.27,0.16,0,0
5.52,26.46,0,0,0
5.62,22,0.42,0,0
8.41,26.41,1.27,0,0
0,0,0,0,0
1.21,2.47,0,0,0
5.59,22.06,0.15,0,0
4.37,11.46,1.68,0,0.01
0.01,0,0,0,0
10.69,38.82,1.13,0,0
5.35,12.44,2.23,0,0.02
20.25,30.7,15.01,1.17,0.96
0.12,0,0,0,0
2.11,5,0,0,0
6.49,15.11,2.57,0.06,0.07
2.12,4.44,0.86,0.02,0.01
0,0,0,0,0
0,0,0,0,0
5.77,25.59,0.09,0,0
0.15,0,0,0,0
4.95,23.05,0.02,0,0
1.75,4.87,0.22,0,0
5.88,12.86,3.01,0.07,0.08
1,0,0,0,0
0.6,0.43,0,0,0
0.59,0.08,0,0,0
27.63,55.07,16.13,0,0
4.34,14.98,0.62,0,0
1.21,1.75,0,0,0
1.56,2.67,0,0,0
0,0,0,0,0
3.43,10.38,0.34,0,0
0.53,0.32,0,0,0
0,0,0,0,0
4.34,20.64,0,0,0
5.36,15.34,0.89,0,0
13.58,33.04,5.62,0,0.01
6.04,30.9,0.01,0,0
1.01,0.45,0,0,0
0.21,0.19,0,0,0
0,0,0,0,0
10.94,23.48,6.37,0.05,0.05
2.61,11.42,0,0,0
