iter,M_lnCltot.1.,SD_lnCltot.1.,M_lnClmet.1.,SD_lnClmet.1.,M_lnkufrac.1.,SD_lnkufrac.1.,M_lnVdist.1.,SD_lnVdist.1.,M_lnVdistmet.1.,SD_lnVdistmet.1.,M_lnkgutabs.1.,SD_lnkgutabs.1.,M_lnFgluc.1.,SD_lnFgluc.1.,geomM_Cltot,geomSD_Cltot,geomM_Clmet,geomSD_Clmet,geomM_kufrac,geomSD_kufrac,geomM_Vdist,geomSD_Vdist,geomM_Vdistmet,geomSD_Vdistmet,geomM_kgutabs,geomSD_kgutabs,geomM_Fgluc,geomSD_Fgluc,Z score,Rand.indiv._Cltot,Rand.indiv._Clmet,Rand.indiv._kufrac,Rand.indiv._Vdist,Rand.indiv._Vdistmet,Rand.indiv._kgutabs,Rand.indiv._Fgluc
37500,0.195872,0.457615,3.97004,0.0128746,-1.54014,0.414704,1.5046,0.666925,2.20697,0.0852399,3.3182,0.276607,-2.6469,0.585779,1.2163712,1.58030047,52.98665026,1.012957834,0.21435109,1.513922553,4.502352329,1.948237271,9.088137575,1.088978281,27.61060671,1.318648041,0.070870572,1.796389828,-0.170935573,1.124849577,52.87016932,1.969872291,4.017254836,0.746761231,0.747821161,0.064117979
48550,0.712846,0.533816,3.68425,0.041632,-1.91962,0.52105,1.28013,0.613812,1.80849,0.159736,2.9842,0.0537673,-2.62854,0.656486,2.039788243,1.70542782,39.81524981,1.042510764,0.146662683,1.683794706,3.597107319,1.847460512,6.101227619,1.173201105,19.77067936,1.055239019,0.072183774,1.928005406,-0.643490309,1.446780261,38.76276851,5.791010874,2.423342842,0.366407276,0.154658398,0.047312423
43150,0.380837,0.456556,5.03438,0.272131,-1.52581,0.359024,1.56475,0.479924,1.97795,0.0546137,3.2114,0.162808,-2.75889,0.772703,1.463509034,1.578627818,153.6043284,1.312758961,0.217444855,1.431931168,4.781479417,1.615951585,7.22791057,1.056132552,24.81380124,1.17681072,0.063362061,2.165611999,0.250966771,1.641183101,164.4613911,0.97637982,5.393502435,1.735010428,2.634682514,0.076921703
38200,0.360675,0.58966,4.0579,0.068245,-1.56637,0.424945,1.34637,0.623914,2.18784,0.0461199,3.66033,0.335158,-2.51201,0.68228,1.434297239,1.803375164,57.85269277,1.07062758,0.208801759,1.529506295,3.84344846,1.866218144,8.915933883,1.047199963,38.87416923,1.398161277,0.081105054,1.978383308,-0.437709326,1.108020754,56.15010365,3.036057373,2.924948939,0.401913627,0.281674656,0.060165853
44750,0.353051,0.567019,4.93325,0.211204,-1.51353,0.480118,1.2978,0.462253,2.92936,0.0348529,3.05492,0.187308,-2.6357,0.510404,1.423403735,1.763003696,138.8299774,1.235164303,0.22013154,1.61626511,3.661233088,1.587646927,18.71564865,1.03546738,21.2194879,1.205998675,0.071668784,1.665964109,-1.364764745,0.656523664,104.0640138,12.75253894,1.948253641,0.019005358,0.018649441,0.03571154
45450,0.448667,0.453503,2.91731,0.282595,-1.52984,0.357559,1.46873,0.514826,1.77527,0.351146,2.70184,0.426416,-2.04803,0.624309,1.566223018,1.573815617,18.49147842,1.326567793,0.216570316,1.429834924,4.343715118,1.673347314,5.901874427,1.420694732,14.90713564,1.531757854,0.128988761,1.866955445,0.098876737,1.638052271,19.01545503,1.229113789,4.570553506,1.693299351,2.000836058,0.137202085
40500,0.493833,0.344412,3.04937,0.247318,-1.47937,0.462089,1.59292,0.362539,1.82798,0.416239,3.86307,0.00248705,-2.05753,0.72711,1.638584894,1.411159914,21.10204595,1.280586274,0.227781145,1.587386574,4.918088801,1.436973262,6.221306917,1.516248209,47.6112939,1.002490145,0.12776917,2.069092282,0.806523776,2.163245125,25.76038501,0.481399362,6.588438189,6.622999292,22.60440626,0.229673051
34350,0.317136,0.409293,4.54925,0.132759,-1.48309,0.366701,1.30616,0.584905,2.19976,0.115746,3.84256,0.0649256,-2.89749,0.717356,1.373189313,1.505752841,94.56146062,1.141974749,0.226935374,1.442966408,3.691969295,1.79482047,9.022847756,1.122710667,46.64473224,1.067079631,0.055161502,2.049008464,-0.536772737,1.102343839,88.05737478,3.198824118,2.697158852,0.344719169,0.135652902,0.037532534
29800,0.555308,0.36715,7.37655,0.187657,-1.58231,0.405329,1.67425,0.400399,2.46638,0.260828,2.97342,0.407161,-2.6775,0.66586,1.742477585,1.443614445,1598.066916,1.206419642,0.205499845,1.499795852,5.334792554,1.492420054,11.77972696,1.298004389,19.55869608,1.502545996,0.068734776,1.946163502,-1.486226175,1.009686675,1209.121395,15.75250719,2.942226259,0.033214441,0.018096918,0.025549985
48000,0.360108,0.57439,4.41324,0.123884,-1.56236,0.369141,1.15549,0.595891,2.25938,0.00585721,3.14768,0.254213,-2.42872,0.70219,1.433484222,1.776046808,82.53644885,1.131884565,0.209640735,1.446491545,3.17557907,1.814647075,9.577149493,1.005874397,23.28198766,1.289446427,0.088149592,2.018167659,-0.796133196,0.907389987,74.78458906,5.017780278,1.976013426,0.166474987,0.105213934,0.05040037
