"","bmd","AF_interTD","Intra_GSD.TD","AF_intraTD","iTTC01","bmd_urine","Cltot.GM","GSD_Cltot.TK","kufrac.GM","GSD_kufrac.TK","IntraTKTD_GSD","AF_intraTKTD","iTTC01_urine"
"8811",19.0062510233457,3.21275944932586,0.990145880972268,0.977225539227865,6.05373551331043,164.641396901963,1.57744744577952,1.52632822774642,0.228810758309145,1.3675776005598,1.69252255800672,3.40134487112197,15.0664232715294
"8812",61.5896096612832,0.609913029290536,2.04166450345228,5.26176562194438,19.1914611607257,543.087262982389,1.69284915508584,1.65224339866571,0.217036442880602,1.63418629243942,2.72211871574396,10.2741314518482,86.6675636990862
"8813",24.3171331357255,1.16782949607244,2.39720650810894,7.64411059678097,2.72399289541731,184.664931082552,1.32434500319243,1.49642510457737,0.238923944868887,1.63644793564765,2.94885709697333,12.3759329904972,12.7769454015883
"8814",15.964341584519,0.523004505786717,6.88492081336678,88.9701740292574,0.343084534304896,131.869977010049,1.5842720066187,1.53141784137812,0.217247070368012,1.39517101617548,7.41655028716054,105.777292495717,2.38368055412256
"8815",16.833776137096,1.11533000692764,0.734982999290513,0.488556129471029,30.8932567953266,112.379685011117,1.60263956810259,1.44012368174463,0.173563804138792,1.41238674458638,1.8023880185337,3.93724218411041,25.5912968368322
"8816",9.81575728133585,0.819692174801975,1.70181628353046,3.44495227812489,3.47608038961404,82.3580174910837,1.47738406468333,1.39495757133895,0.236634150336151,1.51297664731841,2.12047177675205,5.74639590673438,17.4847549742883
"8817",21.0386836786751,0.889571644077714,1.30838473465841,1.8688192923846,12.6552382074944,203.156913520563,1.76910187048381,1.55685225883955,0.227430632312185,1.47698374784718,1.91230446449381,4.51855547940297,50.5418408945409
"8818",53.0234839478969,0.840980150682556,0.760041829025603,0.528185602002454,119.370209505857,536.606332522766,1.82109141513696,1.50437420335061,0.231549871734158,1.47403862849338,1.8712050629847,4.29584895521914,148.532347567782
"8819",130.885070833879,1.0707031583251,1.82882781693783,4.07291343458333,30.0134451021131,888.662431760365,1.13035755157743,1.83367472523641,0.250276242787794,1.55290287194678,2.61735631342754,9.3776571567519,88.5061370576024
"8820",3.07357551799862,1.10825644139788,1.76033938448463,3.72685654545143,0.744150791277093,28.0141398708503,1.40997785698386,1.46445623072424,0.269345590737695,1.55923294747398,2.25697320585611,6.64393533295852,3.80462302451241
