Time,Obs,name
10.92,19160.2,Qu_out
14,20029.15,Qu_out
23.42,20071.85,Qu_out
25.92,20071.85,Qu_out
29.83,20071.85,Qu_out
34.25,20071.85,Qu_out
36.75,20071.85,Qu_out
46.25,20071.85,Qu_out
0,0,Qu_out
1.83,4673,Qu_out
2.5,7402.79,Qu_out
3.17,8470.16,Qu_out
6.17,10225.76,Qu_out
11.17,10714.46,Qu_out
14.33,11559.71,Qu_out
23.67,13043.31,Qu_out
25.75,13475.37,Qu_out
26.17,13475.37,Qu_out
29,13475.37,Qu_out
31.17,13475.37,Qu_out
34.83,13475.37,Qu_out
37.67,13475.37,Qu_out
44.5,13475.37,Qu_out
46.17,13475.37,Qu_out
0,0,Qu_tot_out
2.05,8662.1325,Qu_tot_out
4.3,13893.7325,Qu_tot_out
5.88,18892.7663,Qu_tot_out
9.3,19889.6648,Qu_tot_out
14.55,20321.5971,Qu_tot_out
0,0,Qu_tot_out
1,15500.095,Qu_tot_out
2.83,24170.455,Qu_tot_out
8.17,29538.455,Qu_tot_out
14.17,29813.033,Qu_tot_out
23.75,29880.0945,Qu_tot_out
27.83,29917.5945,Qu_tot_out
33,29917.5945,Qu_tot_out
47.75,29917.5945,Qu_tot_out
1.17,6590.4,Qu_tot_out
1.92,14666.189,Qu_tot_out
7,20643.74765,Qu_tot_out
11,21849.29765,Qu_tot_out
12.67,22334.7821,Qu_tot_out
13.92,22991.7821,Qu_tot_out
20.92,23098.0071,Qu_tot_out
25.5,23105.5071,Qu_tot_out
29.33,23105.5071,Qu_tot_out
32.33,23105.5071,Qu_tot_out
44.92,23105.5071,Qu_tot_out
0,0,Qu_tot_out
1.23,19305.32,Qu_tot_out
3.92,55549.62,Qu_tot_out
7.9,60939.33,Qu_tot_out
21.92,61069.33,Qu_tot_out
25.37,61069.33,Qu_tot_out
33.33,61069.33,Qu_tot_out
35.58,61069.33,Qu_tot_out
45.92,61069.33,Qu_tot_out
0,0,Qu_tot_out
2.13,23701.5075,Qu_tot_out
3.68,36252.728,Qu_tot_out
9.85,42754.123,Qu_tot_out
12.63,44993.0805,Qu_tot_out
22.47,48156.1305,Qu_tot_out
25.8,48681.1407,Qu_tot_out
29.22,49644.4757,Qu_tot_out
34.13,50571.4757,Qu_tot_out
38.13,50583.9757,Qu_tot_out
47.13,50583.9757,Qu_tot_out
0,0,Qu_tot_out
1.75,4734.9,Qu_tot_out
4.5,14536.2,Qu_tot_out
7.25,22759.5,Qu_tot_out
11.25,23605.8,Qu_tot_out
13.25,24213.9,Qu_tot_out
20.58,24400.5,Qu_tot_out
22.25,25139.7,Qu_tot_out
28.25,25733.4,Qu_tot_out
30.25,25740.9,Qu_tot_out
33.25,25740.9,Qu_tot_out
37.25,25923,Qu_tot_out
45.25,26001,Qu_tot_out
47.75,26008.5,Qu_tot_out
0,0,Qu_tot_out
0.37,11547.455,Qu_tot_out
1.2,25576.79,Qu_tot_out
3.62,36585.09,Qu_tot_out
9.2,37784.675,Qu_tot_out
11.12,41471.63,Qu_tot_out
12.7,41891.21,Qu_tot_out
24.12,41891.21,Qu_tot_out
0,0,Qu_tot_out
4.08,14308.8,Qu_tot_out
7.83,16121,Qu_tot_out
8.33,17583.425,Qu_tot_out
9.83,17695.075,Qu_tot_out
10.33,17697.575,Qu_tot_out
12.17,17697.575,Qu_tot_out
12.42,17697.575,Qu_tot_out
14.58,17777.575,Qu_tot_out
24,17777.575,Qu_tot_out
25.33,17778.825,Qu_tot_out
30.33,18777.325,Qu_tot_out
36.33,18777.325,Qu_tot_out
37.17,18777.325,Qu_tot_out
0,0,Qu_tot_out
2.75,8075.9,Qu_tot_out
5.92,15272.9,Qu_tot_out
10.92,19906.3,Qu_tot_out
14,20775.25,Qu_tot_out
23.42,20817.25,Qu_tot_out
25.92,20817.25,Qu_tot_out
29.83,20919.25,Qu_tot_out
34.25,21049.25,Qu_tot_out
36.75,21053,Qu_tot_out
46.25,21053,Qu_tot_out
0,0,Qu_tot_out
1.83,4938.2,Qu_tot_out
2.5,9743.63,Qu_tot_out
3.17,11993.99,Qu_tot_out
6.17,13749.59,Qu_tot_out
11.17,14273.54,Qu_tot_out
14.33,15308.14,Qu_tot_out
23.67,16791.74,Qu_tot_out
25.75,17223.8,Qu_tot_out
26.17,17228.8,Qu_tot_out
29,17228.8,Qu_tot_out
31.17,17233.8,Qu_tot_out
34.83,17233.8,Qu_tot_out
37.67,17233.8,Qu_tot_out
44.5,17233.8,Qu_tot_out
46.17,17248.29,Qu_tot_out
0,0,Ctot_out
0.25,2.60026,Ctot_out
0.5,3.12625,Ctot_out
1,1.14819,Ctot_out
2,1.29447,Ctot_out
4,0.08,Ctot_out
6,0.025,Ctot_out
8,0,Ctot_out
12,0,Ctot_out
24,0,Ctot_out
36,0,Ctot_out
48,0,Ctot_out
0,0,Ctot_out
0.25,0.582,Ctot_out
0.5,0.835,Ctot_out
1,1.038,Ctot_out
2,1.026,Ctot_out
4,0.08,Ctot_out
6,0,Ctot_out
8,0,Ctot_out
12,0,Ctot_out
24,0,Ctot_out
36,0,Ctot_out
48,0,Ctot_out
0,0,Ctot_out
0.25,0.64235,Ctot_out
0.5,0.55479,Ctot_out
1,1.57916,Ctot_out
2,0.48615,Ctot_out
4,0.38681,Ctot_out
6,0.08,Ctot_out
8,0.025,Ctot_out
12,0,Ctot_out
24,0,Ctot_out
36,0,Ctot_out
48,0,Ctot_out
0,0,Ctot_out
0.25,0.84183,Ctot_out
0.5,0.3868,Ctot_out
1,0.25521,Ctot_out
2,0.08,Ctot_out
4,0,Ctot_out
6,0,Ctot_out
8,0,Ctot_out
12,0,Ctot_out
24,0,Ctot_out
36,0,Ctot_out
48,0,Ctot_out
0,0,Ctot_out
0.25,0.839,Ctot_out
0.5,0.642,Ctot_out
1,1.16,Ctot_out
2,0.392,Ctot_out
4,0.08,Ctot_out
6,0,Ctot_out
8,0,Ctot_out
12,0,Ctot_out
24,0,Ctot_out
36,0,Ctot_out
48,0,Ctot_out
0,0,Ctot_out
0.25,1.11,Ctot_out
0.5,0.302,Ctot_out
1,0.375,Ctot_out
2,0.264,Ctot_out
4,0.3,Ctot_out
6,0.117,Ctot_out
8,0.116,Ctot_out
12,0.103,Ctot_out
24,0.025,Ctot_out
36,0,Ctot_out
48,0,Ctot_out
0,0,Ctot_out
0.25,1.15,Ctot_out
0.5,0.8098,Ctot_out
1,0.705,Ctot_out
2,0.4556,Ctot_out
4,0.2817,Ctot_out
6,0,Ctot_out
8,0,Ctot_out
12,0,Ctot_out
24,0,Ctot_out
36,0,Ctot_out
48,0,Ctot_out
0,0,Ctot_out
0.25,0.086,Ctot_out
0.5,0.169,Ctot_out
1,0.158,Ctot_out
2,0.069,Ctot_out
4,0,Ctot_out
6,0,Ctot_out
8,0,Ctot_out
12,0,Ctot_out
24,0,Ctot_out
36,0,Ctot_out
48,0,Ctot_out
0,0,Ctot_out
0.25,0.406,Ctot_out
0.5,0.32,Ctot_out
1,0.213,Ctot_out
2,0.16,Ctot_out
4,0.134,Ctot_out
6,0.06,Ctot_out
8,0.025,Ctot_out
12,0,Ctot_out
24,0,Ctot_out
36,0,Ctot_out
48,0,Ctot_out
0,0,Ctot_out
0.25,0.388,Ctot_out
0.5,0.206,Ctot_out
1,0.249,Ctot_out
2,0.132,Ctot_out
4,0.137,Ctot_out
6,0.07,Ctot_out
8,0,Ctot_out
12,0,Ctot_out
24,0,Ctot_out
36,0,Ctot_out
48,0,Ctot_out
