iter	M_lnCltot(1)	M_lnClmet(1)	M_lnkufrac(1)	M_lnVdist(1)	M_lnVdistmet(1)	M_lnkgutabs(1)	M_lnFgluc(1)	SD_lnCltot(1)	SD_lnClmet(1)	SD_lnkufrac(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	SD_lnkgutabs(1)	SD_lnFgluc(1)	GSD_Ccpt(1)	GSD_Ctot(1)	GSD_Qu(1)	GSD_Qu_tot(1)	lnCltot(1.1)	lnClmet(1.1)	lnkufrac(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnkgutabs(1.1)	lnFgluc(1.1)	lnCltot(1.2)	lnClmet(1.2)	lnkufrac(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnkgutabs(1.2)	lnFgluc(1.2)	lnCltot(1.3)	lnClmet(1.3)	lnkufrac(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnkgutabs(1.3)	lnFgluc(1.3)	lnCltot(1.4)	lnClmet(1.4)	lnkufrac(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnkgutabs(1.4)	lnFgluc(1.4)	lnCltot(1.5)	lnClmet(1.5)	lnkufrac(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnkgutabs(1.5)	lnFgluc(1.5)	lnCltot(1.6)	lnClmet(1.6)	lnkufrac(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnkgutabs(1.6)	lnFgluc(1.6)	lnCltot(1.7)	lnClmet(1.7)	lnkufrac(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnkgutabs(1.7)	lnFgluc(1.7)	lnCltot(1.8)	lnClmet(1.8)	lnkufrac(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	lnkgutabs(1.8)	lnFgluc(1.8)	lnCltot(1.9)	lnClmet(1.9)	lnkufrac(1.9)	lnVdist(1.9)	lnVdistmet(1.9)	lnkgutabs(1.9)	lnFgluc(1.9)	lnCltot(1.10)	lnClmet(1.10)	lnkufrac(1.10)	lnVdist(1.10)	lnVdistmet(1.10)	lnkgutabs(1.10)	lnFgluc(1.10)	LnPrior	LnData	LnPosterior
500	-2.50777	4.7789	-1.40872	0.958008	3.47178	2.48398	-2.60013	1.187	0.256489	0.374559	0.529972	0.130785	0.0880573	0.571761	2.22932	1.8364	1.10873	1.12547	0.951201	-0.716414	-1.26307	-1.79824	-0.248335	0.250328	0.152097	2.49458	-0.881649	1.2488	-0.219346	-0.532813	1.36798	0.274636	1.95225	-0.70173	-1.34372	-0.449482	0.457504	-0.746668	1.06779	2.44446	0.323259	1.74701	0.162717	1.18811	1.71452	3.14614	1.96758	-0.0105015	-0.134219	-0.0129517	-0.00705323	-0.0676628	2.30808	1.57372	-0.702142	-1.64879	0.634974	-1.22638	0.0897841	-0.0504298	2.28034	1.58636	0.561746	-1.27574	1.2259	1.40183	0.62789	2.9459	-0.852921	-1.49064	1.59774	-0.36449	-0.888279	-1.97047	2.67011	-0.584828	-0.558689	2.4962	1.42311	-0.233018	-3.01584	2.30304	0.093489	-0.917383	0.775016	-1.86478	-2.62044	-1.0041	-1.792021e+002	-1.397737e+003	-1.576939e+003
550	-2.46315	5.84559	-1.39396	1.09409	2.08525	2.34158	-2.58024	1.18105	0.127412	0.388413	0.632878	0.142596	0.148	0.565775	2.16559	2.04293	1.10602	1.12496	1.3361	-1.30202	-0.757694	-0.515413	-0.106689	0.16713	-0.3472	2.58396	-0.515384	1.26321	-0.355454	-0.653144	0.836138	0.333971	1.97509	-0.992577	-1.32405	-0.201115	0.8944	-1.08777	0.999634	2.43368	0.671824	1.69986	0.126862	-0.653357	1.10886	2.07815	2.29563	-0.265407	0.12566	0.533412	-0.690388	-1.74969	2.13585	1.80799	-1.12458	-1.74805	0.697065	1.57507	1.24065	-0.195789	2.12009	1.32033	0.550343	-1.58337	0.351344	0.902584	1.47692	2.90324	1.51945	-1.48385	1.43914	-0.361252	-1.20875	-2.45	2.74347	0.65675	-0.521699	2.22385	-0.735574	1.15091	-2.65975	2.32823	0.674276	-0.982569	0.704328	0.83628	0.0877951	-0.524421	-1.748037e+002	-1.396001e+003	-1.570804e+003
600	-2.37629	2.96266	-1.45318	1.18613	1.94609	2.95101	-2.46878	1.14787	0.324083	0.348639	0.689513	0.0982793	0.134638	0.534143	1.97959	2.00982	1.10469	1.10148	1.1755	0.156974	-0.624632	-0.884605	0.619837	-0.803958	-0.815976	2.58338	0.463996	1.36438	-0.172918	-0.180032	-1.0692	0.818824	1.93855	0.918877	-1.45356	-0.591149	-1.35146	0.875853	0.774622	2.30531	-0.654148	2.01323	-0.226642	-0.420153	-0.290446	1.84691	2.13465	0.801911	0.218497	0.119075	-0.173609	2.49894	2.34053	1.73403	0.852599	-1.63731	0.436914	0.82104	-0.717577	-0.561265	2.01111	0.0527004	0.854248	-1.81065	-1.63365	0.127819	0.814403	3.365	0.321959	-1.42615	1.76797	0.371455	2.29655	-2.90464	2.45275	-0.0381123	-0.548046	1.14249	0.336538	1.47282	-3.55646	2.27902	0.319353	-0.945831	0.258535	-1.96486	1.30561	-0.844934	-1.775900e+002	-1.394263e+003	-1.571853e+003
650	-2.36851	3.23208	-1.41027	1.44565	2.2019	3.32671	-2.40052	1.21366	0.0150582	0.325781	0.560054	0.477411	0.0743475	0.526359	2.05129	1.82409	1.10915	1.1077	1.22868	-1.4006	-1.38784	-1.76778	-2.14325	-1.46367	-0.683178	2.71718	0.249201	1.27154	-0.531342	-1.68101	-1.27182	-1.53585	1.79472	-0.0154791	-1.59875	-1.14915	-1.49174	-0.133864	0.676897	2.23053	0.889777	1.92256	-0.631758	0.20673	0.516952	2.2916	1.88264	-2.07979	0.0496822	-0.656568	0.451942	2.11617	2.03079	1.62757	0.148098	-1.92014	0.23333	1.04265	-2.34134	-0.460163	2.19079	0.521266	0.858579	-1.72501	-1.80556	-0.9178	1.22496	3.082	0.241808	-1.82558	0.765465	0.355195	-0.626496	-1.87589	2.5054	0.232914	-0.787738	1.46143	1.97113	0.700045	-2.10286	2.32108	0.106778	-1.14785	0.358093	1.0828	-0.523839	-1.01138	-1.823272e+002	-1.390722e+003	-1.573049e+003
700	-2.14609	7.56422	-1.43079	1.55153	2.46663	2.83111	-2.30202	1.15538	0.0589011	0.314239	0.518395	0.210232	0.22646	0.672698	1.88486	1.92317	1.1004	1.10406	1.03225	-0.429054	-0.864509	-1.61757	0.285417	-0.551776	-0.629296	2.32486	0.367588	1.58823	-1.21902	1.27023	1.09421	-0.902487	1.74072	-0.0788351	-1.65767	-1.49713	-0.514526	-0.644768	0.384392	2.4481	0.0275994	2.1064	-0.351295	-2.16569	0.91729	2.05305	2.16445	2.1829	-0.172683	-0.181636	1.21326	2.14594	1.43063	1.31023	1.27763	-1.82515	-0.575701	3.15779	-0.625336	-0.713115	2.2148	1.1612	1.04216	-1.70417	0.533142	0.968111	-0.144294	3.23915	0.906925	-1.61185	0.919896	1.34275	-0.0958294	-3.01039	2.52686	-1.20643	-0.797946	1.76603	-0.201651	-1.54273	-2.55769	2.4562	1.16118	-1.26023	0.718323	1.37036	0.553835	-0.823215	-1.885170e+002	-1.383974e+003	-1.572491e+003
750	-2.04181	3.63956	-1.44783	1.70067	2.34538	3.71661	-2.35344	1.15332	0.268332	0.331701	0.583325	0.188326	0.430156	0.777545	1.85995	1.85745	1.1004	1.1007	1.04811	1.06542	-0.780498	-1.68	-0.43253	0.0503828	-0.564858	2.16108	-0.0282529	1.59471	-1.57941	1.03156	2.11481	-0.962002	1.64711	-0.295639	-1.59952	-1.47181	-0.456469	0.640955	0.501472	2.68347	-1.33799	2.12952	0.380596	0.0623882	-1.14328	1.62299	1.86384	-0.380877	0.0486737	-0.620647	-0.674606	1.18132	1.41949	1.56858	-0.775664	-1.6236	0.0286027	-0.269986	-1.11261	-0.406804	2.16999	0.619948	0.996323	-1.96226	0.0325145	-0.617323	0.419604	3.09281	0.517718	-1.4809	1.4352	0.191078	-0.119878	-2.23078	2.26167	2.11515	-0.595708	0.692395	-0.209456	0.0797739	-2.37831	2.46262	-0.535462	-0.796216	0.920094	0.151939	0.0647525	-0.666496	-1.723033e+002	-1.383928e+003	-1.556231e+003
800	-2.00259	3.69569	-1.46879	1.69439	1.9909	2.85474	-2.57254	1.14985	0.0747137	0.312243	0.710365	0.227038	0.148197	0.68652	1.85737	1.92283	1.10067	1.10282	0.893261	-1.02275	-0.795808	-1.78216	-0.791819	0.403236	-0.772512	1.96383	0.284192	1.81138	-1.43381	0.826098	1.34414	-0.494216	1.85165	-0.0876735	-1.28436	-0.687577	0.242207	0.261733	0.408777	2.57946	-1.2877	1.87866	-0.220156	0.562373	-1.3689	2.43379	2.05523	-1.45025	0.189597	-0.264682	-1.34622	-0.7833	1.87322	1.5689	0.617029	-1.8422	0.04936	0.812978	-0.267163	-0.140235	2.04767	-1.52825	0.786652	-1.71107	-1.1127	-0.805019	0.821456	3.07707	-0.971018	-1.57087	0.683438	1.89797	0.976164	-2.35458	2.14356	-0.495004	-0.564198	0.657276	-1.40594	-1.50545	-1.89072	2.60046	-0.273399	-1.18845	0.669996	0.085173	0.924652	-0.37587	-1.713074e+002	-1.388562e+003	-1.559870e+003
850	-2.05345	2.55686	-1.50194	1.56414	1.90101	3.37183	-2.3092	1.19304	0.0647469	0.295545	0.561905	0.185915	0.190818	0.56287	1.89161	1.85534	1.10744	1.11291	0.978479	-0.109257	-0.7056	-1.57116	-1.96854	0.923625	-0.781083	2.39968	0.412849	2.09004	-0.699017	0.0575638	0.0304417	-0.428053	1.75235	-0.142628	-1.26957	-1.0839	-0.478243	0.0138814	0.275895	2.61792	1.36399	2.46993	0.372589	0.932322	0.891504	2.66952	2.42476	0.503745	0.240006	0.71162	-0.439539	0.935011	1.46191	1.59335	-0.950255	-1.88245	0.178585	0.354812	-0.44472	-0.380781	1.91137	-1.11757	1.24448	-2.22048	-0.037945	-0.538401	-0.0342444	3.05886	-1.63565	-1.48624	1.34307	0.557508	-0.117137	-3.45806	2.40442	-0.494289	-0.775475	1.1668	0.710168	-0.182205	-2.04249	2.22147	1.2302	-0.909525	0.58362	0.373823	2.10909	-1.36855	-1.732550e+002	-1.387563e+003	-1.560818e+003
900	-2.02622	2.722	-1.46071	1.49321	1.93575	3.5104	-2.57789	1.18345	0.12123	0.321729	0.67072	0.666392	0.0223852	0.559566	2.21173	1.92026	1.10191	1.11134	0.756579	0.519991	-0.985657	-1.87059	-0.443127	-0.497043	-0.854589	2.11545	-0.61522	1.67994	-0.848993	0.539641	-0.0991935	-1.08684	2.04182	-0.51807	-1.43895	-0.0644284	-0.689682	-0.416939	0.691381	2.36991	-0.271101	1.69338	-0.209359	2.55173	-0.254607	2.83709	1.72784	0.0598878	0.0340774	-0.575337	-0.280125	0.587963	2.21027	1.56404	-2.02249	-1.70533	0.345051	0.338511	-1.3367	-0.269503	1.94968	-1.33463	1.03519	-1.64409	-1.38941	-0.985351	0.605452	3.39932	0.436456	-1.61334	1.92177	0.559046	1.1973	-2.1758	2.16585	0.835783	-0.93456	0.973191	1.41188	0.877879	-0.938307	1.8139	-0.824488	-1.10492	-0.122979	0.0735891	1.06597	-0.487726	-1.739495e+002	-1.392496e+003	-1.566445e+003
950	-1.98596	6.24628	-1.42158	1.64894	2.01494	2.69725	-2.81368	1.1535	0.105219	0.347785	0.696285	0.478343	0.0647212	0.686541	2.05376	1.61218	1.1071	1.10807	0.865797	-0.464314	-1.58748	-2.31918	0.231476	0.926424	-0.0511356	1.94121	-0.707154	1.62037	-1.25579	0.227688	-1.76752	1.0523	1.72423	-0.0972907	-1.47468	-0.967533	-0.706113	1.26495	0.936737	2.40896	1.00613	2.07581	-0.172752	1.56642	-1.21507	1.43295	1.89696	0.162394	0.046088	-0.573346	-0.624044	0.183746	2.20459	1.62708	-0.311043	-1.5427	0.207446	-0.541998	-0.576161	0.00345144	2.05622	1.35027	0.639693	-1.64334	-1.21995	0.23778	0.839415	2.71578	0.128195	-1.60314	0.500387	0.776436	-0.639505	-1.61398	2.00186	1.70028	-0.741438	0.529646	1.64572	-2.2539	-1.78274	1.94255	-0.754067	-1.0975	-0.0756217	1.42579	-3.05345	-0.104632	-1.767320e+002	-1.400935e+003	-1.577667e+003
