"iter" "M_lnCltot.1." "M_lnClmet.1." "M_lnkufrac.1." "M_lnVdist.1." "M_lnVdistmet.1." "M_lnkgutabs.1." "M_lnFgluc.1." "SD_lnCltot.1." "SD_lnClmet.1." "SD_lnkufrac.1." "SD_lnVdist.1." "SD_lnVdistmet.1." "SD_lnkgutabs.1." "SD_lnFgluc.1." "GSD_Ccpt.1." "GSD_Ctot.1." "GSD_Qu.1." "GSD_Qu_tot.1." "lnCltot.1.1." "lnClmet.1.1." "lnkufrac.1.1." "lnVdist.1.1." "lnVdistmet.1.1." "lnkgutabs.1.1." "lnFgluc.1.1." "lnCltot.1.2." "lnClmet.1.2." "lnkufrac.1.2." "lnVdist.1.2." "lnVdistmet.1.2." "lnkgutabs.1.2." "lnFgluc.1.2." "lnCltot.1.3." "lnClmet.1.3." "lnkufrac.1.3." "lnVdist.1.3." "lnVdistmet.1.3." "lnkgutabs.1.3." "lnFgluc.1.3." "lnCltot.1.4." "lnClmet.1.4." "lnkufrac.1.4." "lnVdist.1.4." "lnVdistmet.1.4." "lnkgutabs.1.4." "lnFgluc.1.4." "lnCltot.1.5." "lnClmet.1.5." "lnkufrac.1.5." "lnVdist.1.5." "lnVdistmet.1.5." "lnkgutabs.1.5." "lnFgluc.1.5." "lnCltot.1.6." "lnClmet.1.6." "lnkufrac.1.6." "lnVdist.1.6." "lnVdistmet.1.6." "lnkgutabs.1.6." "lnFgluc.1.6." "lnCltot.1.7." "lnClmet.1.7." "lnkufrac.1.7." "lnVdist.1.7." "lnVdistmet.1.7." "lnkgutabs.1.7." "lnFgluc.1.7." "lnCltot.1.8." "lnClmet.1.8." "lnkufrac.1.8." "lnVdist.1.8." "lnVdistmet.1.8." "lnkgutabs.1.8." "lnFgluc.1.8." "lnCltot.1.9." "lnClmet.1.9." "lnkufrac.1.9." "lnVdist.1.9." "lnVdistmet.1.9." "lnkgutabs.1.9." "lnFgluc.1.9." "lnCltot.1.10." "lnClmet.1.10." "lnkufrac.1.10." "lnVdist.1.10." "lnVdistmet.1.10." "lnkgutabs.1.10." "lnFgluc.1.10." "LnPrior" "LnData" "LnPosterior"
46200 0.294208 2.77594 -1.51633 1.56868 1.80738 2.78259 -2.29396 0.488528 0.420167 0.501831 0.52061 0.14864 0.000722922 0.897679 2.24316 1.76689 1.1013 1.10011 -2.24805 0.224307 -0.714639 -2.05961 -4.18301 0.664978 -0.695244 0.619891 -0.197459 1.04347 -1.23744 0.0935896 1.05989 0.172507 -0.554699 0.493116 -0.972708 -1.27627 0.596646 -1.17259 0.402464 1.43412 -0.452048 1.2685 0.149998 0.186312 0.919338 1.76823 0.14195 -0.125488 0.1744 -0.182234 -0.370613 -0.44107 1.0452 -0.592693 -1.06827 -1.08027 0.529818 -0.748994 -0.676401 -0.571889 0.293688 0.592105 0.745647 -1.90878 -1.29948 1.31949 0.483804 3.08906 1.96454 -0.81226 2.08058 0.761399 0.614747 -2.11578 0.878406 -0.0709481 -0.334637 1.33551 0.869772 -0.450205 -1.90385 -0.111238 -0.843578 -0.571641 -0.226911 -0.459905 0.287739 -0.579525 -146.0271 -1383.45 -1529.477
25000 0.816846 4.8857 -1.46622 1.1505 2.24334 3.10457 -2.36449 0.775173 0.186867 0.39452 0.67605 0.279278 0.236765 0.64419 2.43203 1.84926 1.10341 1.10309 -2.42801 -1.00818 -0.804521 -1.29271 0.155008 -0.248432 -0.579636 -0.234015 1.14551 1.31156 -0.0731448 -0.71135 1.90261 -0.46999 -0.711261 0.479389 -1.19877 0.181795 -1.25667 -0.463857 0.593195 -0.191114 0.422072 2.18779 0.839675 0.630525 -0.084321 1.75909 -1.15778 -1.63234 0.266958 0.018594 0.119088 2.09764 1.58803 -1.62147 0.578811 -1.3085 0.331915 0.852348 -0.515333 -0.969764 -0.521992 -0.0214106 0.653321 -0.834962 -0.81471 1.63082 1.04125 0.993112 -0.674287 -1.36273 1.84748 -0.986733 -2.24845 -2.06177 -0.000233392 -2.55308 -0.57198 1.96596 -0.0977033 -0.12511 -1.68138 0.212084 -0.144727 -0.675114 1.83185 0.598303 0.133554 -0.631363 -147.6292 -1395.945 -1543.574
29600 0.525049 4.21635 -1.52504 1.42321 1.89446 3.69652 -2.75503 0.519301 0.516039 0.487949 0.567516 0.231965 0.101753 0.7921 1.66453 2.28821 1.10194 1.10402 -2.99072 -0.26947 -0.768917 -2.10405 -0.0526452 0.450101 -0.258163 0.352378 -0.49894 1.25148 -0.838793 -0.505188 -0.638473 -0.508421 -1.00581 -0.755216 -0.852768 -0.75303 -0.397296 -0.416445 0.88917 -0.174785 -0.976613 1.71045 -0.444241 -2.37162 0.545714 1.45852 -0.31455 1.48407 0.145736 0.290344 0.0741531 -1.72288 1.82255 -1.42598 -1.46122 -1.04855 0.434911 1.34676 1.77909 0.187208 -0.5035 -0.449691 0.765229 -1.53944 -1.39537 0.686944 1.22083 1.14505 -0.00899148 -0.77922 1.74109 2.14197 -0.358514 -2.06783 0.402491 -2.00668 -0.304223 1.46896 0.523373 -0.58362 -2.47613 0.0306781 1.52852 -0.613333 0.38528 2.24423 1.01389 -0.417661 -151.1452 -1391.284 -1542.429
35600 0.691003 2.7877 -1.43065 1.7678 1.49606 3.82712 -2.4598 0.297302 0.080503 0.407566 0.597743 0.257047 0.256001 0.7608 2.07336 1.86284 1.11023 1.10127 -3.09524 0.774859 -0.926367 -0.995609 -0.431133 -1.62967 -0.32202 0.108333 0.358028 1.18595 -1.18646 -0.978205 0.0859956 -0.37634 0.497183 -1.80615 -1.16131 0.321254 0.229003 0.83816 0.619766 0.195429 1.66741 1.74693 -0.264904 0.555589 0.187606 1.766 0.251257 -0.290711 0.132494 0.278225 -1.54699 -0.429726 1.42075 -1.28065 -0.542142 -1.42378 0.710973 -0.331688 -0.435598 -0.491484 -0.279184 -0.579801 0.823001 -1.3692 -1.17925 -0.568009 0.498929 1.3916 0.663745 -1.29554 0.0404366 1.05365 -0.319624 -2.79868 0.825941 0.235097 -0.650063 1.09419 1.27003 -0.684447 -1.65929 0.782176 0.985593 -0.744976 0.807409 -0.334075 -0.499366 -0.494928 -132.5641 -1397.51 -1530.074
34700 0.822548 3.61222 -1.54728 1.91473 2.19099 4.51188 -3.15864 0.510032 0.214903 0.379177 0.629072 0.15078 0.151465 0.617303 1.73833 1.88213 1.11164 1.10563 -2.59725 -1.38108 -1.02018 -1.954 -0.924696 -0.49246 0.343945 -0.430904 1.59284 1.59421 -1.47337 1.68794 -1.30569 0.945741 -1.23247 -1.80833 -0.999697 -1.39062 0.766583 -0.588643 1.69863 0.303249 1.17299 2.26105 -0.192216 0.532089 0.473215 1.92522 -0.879359 0.692358 0.0895999 -0.841339 -1.86938 1.01994 2.94053 -0.914894 2.53078 -1.43047 0.399117 -1.8055 -0.297016 0.901565 -1.36617 -0.197276 1.11686 -2.52461 -1.96997 -0.96984 1.50292 1.26811 -0.131068 -1.06923 0.74904 1.64582 -0.00428527 -1.5584 0.418701 0.216628 -0.355258 1.0124 1.16158 0.303825 -2.34897 -0.147798 0.169094 -0.617157 0.187 1.20691 0.138844 0.343825 -155.0974 -1390.032 -1545.13
47700 0.361494 4.46807 -1.52336 1.35576 1.87483 3.94072 -2.13661 0.447763 0.0948665 0.387204 0.443747 0.36843 0.29176 0.564593 1.9705 1.88178 1.10011 1.10519 -2.41236 0.166296 -0.513506 -1.07271 -1.87625 -0.235513 -0.493733 0.432114 1.12569 1.55029 -0.845305 -1.07251 0.518668 -0.764452 -0.45503 -0.654992 -1.03274 -0.349458 -1.43267 0.226405 -0.256736 0.504495 -0.847376 2.06711 0.322949 -0.202906 -0.472299 1.79355 0.83368 2.51166 0.297554 1.24744 -0.772938 -2.0341 1.10224 -1.28405 0.350721 -1.2554 0.883442 0.0314203 0.610616 -0.897286 -0.117443 0.153892 1.1387 -1.84022 0.0831617 1.27543 -1.03648 1.35906 0.336583 -1.11099 1.46262 2.43395 -1.74149 -3.4607 1.0887 -1.82927 -0.286775 2.32146 0.727496 0.389841 -2.68161 0.654347 -1.28758 -0.784563 1.33576 -1.2642 0.313063 -1.24413 -149.5264 -1389.103 -1538.629
28850 0.621853 3.00406 -1.47461 1.32027 1.60977 3.83661 -2.55531 0.352371 0.0264529 0.319477 0.669047 0.23519 0.378439 0.64821 2.26871 2.07004 1.10089 1.10349 -1.95257 -0.182058 -0.860699 0.37919 -0.809043 -0.261007 -0.0789688 -0.807073 0.00319575 1.84572 -0.750519 1.06192 1.18296 -0.672489 -1.53313 1.07844 -1.51955 -0.479449 -0.526024 -0.0461957 0.642814 1.80236 1.3548 1.92886 0.899881 0.371101 0.134382 2.54654 0.453391 2.26345 0.192928 0.909092 -0.282955 0.656096 1.77761 -1.6458 -0.91734 -1.75213 0.87494 -0.225393 0.644782 -0.242538 -0.701193 0.422329 1.15862 -1.13819 0.222877 -0.0633035 -0.00817178 1.98534 1.50916 -1.44555 1.69197 1.5115 0.176397 -1.96396 2.01264 -0.0740366 -0.812062 2.33352 0.960461 -1.35268 -1.61789 0.0438647 -1.48477 -1.018 0.803881 1.10653 1.41734 -0.31506 -144.4445 -1391.57 -1536.015
42400 0.502703 3.33894 -1.47165 1.84451 1.35479 3.63422 -2.44121 0.378789 0.0601766 0.446249 0.537947 0.498425 0.400412 0.734927 1.91394 1.95953 1.10156 1.13108 -2.1293 -0.589467 -1.06174 -1.62241 -0.482303 1.17919 -0.0976685 0.838355 -0.725066 1.19788 -0.975013 -0.540313 -0.255753 0.351136 -0.697323 0.449201 -1.01733 -1.20378 0.305734 -0.711251 0.287784 1.12654 0.695233 1.57123 -0.51645 1.23076 -0.587524 1.65463 -1.02375 0.18426 0.224935 -0.749748 0.0796552 -0.107214 1.32421 -1.14933 0.0384147 -1.25821 0.0751622 0.21226 0.366829 -0.557518 0.564318 0.17676 0.747658 -1.39035 -0.74308 -1.12508 0.422797 3.12405 -0.859636 -1.03952 0.791921 2.21134 1.00872 -2.36436 0.651925 0.330093 -0.412848 0.873647 0.975464 -0.5055 -1.72003 0.590852 1.04311 -0.650483 0.297834 1.84637 0.840668 -0.616653 -136.6273 -1393.341 -1529.969
28750 0.533581 4.45405 -1.55651 1.25558 2.27025 2.9712 -2.24572 0.380016 0.158843 0.284636 0.528746 0.388996 0.366234 0.707028 1.95918 2.24402 1.11001 1.10995 -3.03891 -0.950131 -0.872377 -0.784756 -1.22829 1.15872 -0.793614 0.0591864 2.03572 2.12026 -0.76656 0.00944237 -0.252562 -0.832849 -1.10203 -0.947434 -1.41724 -0.0469108 1.01732 1.48493 0.383565 1.31144 -0.355872 2.4453 0.942811 1.06612 -0.512245 1.34394 0.478986 0.190723 0.609905 1.34173 0.404612 -0.684474 1.29254 -1.54239 1.827 -1.53596 1.06436 -0.294883 -0.0994325 -0.934195 -0.20844 0.848907 1.64733 -1.04026 -0.841929 1.02699 0.283111 1.87899 -1.11845 -1.34846 1.87974 1.21749 -0.134007 -2.38115 0.22803 0.779863 -0.581384 1.76484 0.696064 1.0125 -1.59655 0.269113 0.44646 -0.976246 1.09008 -0.122184 -1.5033 -0.982701 -144.6745 -1393.627 -1538.302
35850 0.513486 4.25602 -1.48111 1.54444 2.11039 2.5971 -2.7955 0.558979 0.170553 0.338331 0.530436 0.150256 0.400054 0.771483 1.85801 1.71856 1.10054 1.10433 -2.05558 0.329705 -1.14245 -1.53243 0.700866 -1.53031 0.101383 0.233026 0.0267109 1.68142 -1.3382 -0.203426 -0.651233 -0.457348 -1.08562 0.753214 -1.45071 -1.32323 0.1256 -1.90762 1.01339 0.277675 1.28895 2.4813 -0.0209226 0.380278 -1.51091 1.09896 -0.214218 -0.0673398 0.429826 0.289438 0.273438 -1.47814 1.86673 -1.45546 -0.955526 -1.5562 0.165097 -0.0341468 1.25212 0.131386 -0.985982 0.29839 0.730471 -2.90573 -0.173455 2.94767 0.903468 2.31667 -0.390967 -1.48184 0.982198 -0.0978354 0.504262 -1.38393 -0.216891 1.67195 -0.582583 0.813298 1.76025 1.14326 -1.12689 -0.0267887 0.815936 -0.881862 0.483702 1.13817 -0.950605 0.0345069 -145.3178 -1394.803 -1540.121
