Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt	10.7		0.0720225
1_1	1	Ccpt	10.8		0.0703216
1_1	1	Ccpt	10.9		0.0686609
1_1	1	Ccpt	11		0.0670394
1_1	1	Ccpt	11.1		0.0654562
1_1	1	Ccpt	11.2		0.0639103
1_1	1	Ccpt	11.3		0.062401
1_1	1	Ccpt	11.4		0.0609273
1_1	1	Ccpt	11.5		0.0594884
1_1	1	Ccpt	11.6		0.0580836
1_1	1	Ccpt	11.7		0.0567118
1_1	1	Ccpt	11.8		0.0553725
1_1	1	Ccpt	11.9		0.0540648
1_1	1	Ccpt	12		0.052788
1_1	1	Ccpt	12.1		0.0515414
1_1	1	Ccpt	12.2		0.0503241
1_1	1	Ccpt	12.3		0.0491357
1_1	1	Ccpt	12.4		0.0479753
1_1	1	Ccpt	12.5		0.0468423
1_1	1	Ccpt	12.6		0.045736
1_1	1	Ccpt	12.7		0.0446559
1_1	1	Ccpt	12.8		0.0436013
1_1	1	Ccpt	12.9		0.0425716
1_1	1	Ccpt	13		0.0415662
1_1	1	Ccpt	13.1		0.0405846
1_1	1	Ccpt	13.2		0.0396261
1_1	1	Ccpt	13.3		0.0386903
1_1	1	Ccpt	13.4		0.0377766
1_1	1	Ccpt	13.5		0.0368845
1_1	1	Ccpt	13.6		0.0360134
1_1	1	Ccpt	13.7		0.0351629
1_1	1	Ccpt	13.8		0.0343325
1_1	1	Ccpt	13.9		0.0335217
1_1	1	Ccpt	14		0.03273
1_1	1	Ccpt	14.1		0.0319571
1_1	1	Ccpt	14.2		0.0312023
1_1	1	Ccpt	14.3		0.0304655
1_1	1	Ccpt	14.4		0.029746
1_1	1	Ccpt	14.5		0.0290435
1_1	1	Ccpt	14.6		0.0283576
1_1	1	Ccpt	14.7		0.0276879
1_1	1	Ccpt	14.8		0.027034
1_1	1	Ccpt	14.9		0.0263956
1_1	1	Ccpt	15		0.0257722
1_1	1	Ccpt	15.1		0.0251636
1_1	1	Ccpt	15.2		0.0245693
1_1	1	Ccpt	15.3		0.0239891
1_1	1	Ccpt	15.4		0.0234225
1_1	1	Ccpt	15.5		0.0228694
1_1	1	Ccpt	15.6		0.0223293
1_1	1	Ccpt	15.7		0.0218019
1_1	1	Ccpt	15.8		0.0212871
1_1	1	Ccpt	15.9		0.0207843
1_1	1	Ccpt	16		0.0202935
1_1	1	Ccpt	16.1		0.0198142
1_1	1	Ccpt	16.2		0.0193463
1_1	1	Ccpt	16.3		0.0188894
1_1	1	Ccpt	16.4		0.0184433
1_1	1	Ccpt	16.5		0.0180078
1_1	1	Ccpt	16.6		0.0175825
1_1	1	Ccpt	16.7		0.0171673
1_1	1	Ccpt	16.8		0.0167618
1_1	1	Ccpt	16.9		0.016366
1_1	1	Ccpt	17		0.0159795
1_1	1	Ccpt	17.1		0.0156021
1_1	1	Ccpt	17.2		0.0152336
1_1	1	Ccpt	17.3		0.0148739
1_1	1	Ccpt	17.4		0.0145226
1_1	1	Ccpt	17.5		0.0141796
1_1	1	Ccpt	17.6		0.0138448
1_1	1	Ccpt	17.7		0.0135178
1_1	1	Ccpt	17.8		0.0131986
1_1	1	Ccpt	17.9		0.0128869
1_1	1	Ccpt	18		0.0125825
1_1	1	Ccpt	18.1		0.0122854
1_1	1	Ccpt	18.2		0.0119952
1_1	1	Ccpt	18.3		0.011712
1_1	1	Ccpt	18.4		0.0114354
1_1	1	Ccpt	18.5		0.0111653
1_1	1	Ccpt	18.6		0.0109016
1_1	1	Ccpt	18.7		0.0106441
1_1	1	Ccpt	18.8		0.0103928
1_1	1	Ccpt	18.9		0.0101473
1_1	1	Ccpt	19		0.00990766
1_1	1	Ccpt	19.1		0.00967367
1_1	1	Ccpt	19.2		0.00944521
1_1	1	Ccpt	19.3		0.00922215
1_1	1	Ccpt	19.4		0.00900435
1_1	1	Ccpt	19.5		0.00879169
1_1	1	Ccpt	19.6		0.00858406
1_1	1	Ccpt	19.7		0.00838133
1_1	1	Ccpt	19.8		0.00818339
1_1	1	Ccpt	19.9		0.00799013
1_1	1	Ccpt	20		0.00780143
1_1	1	Ccpt	20.1		0.00761718
1_1	1	Ccpt	20.2		0.00743729
1_1	1	Ccpt	20.3		0.00726164
1_1	1	Ccpt	20.4		0.00709013
1_1	1	Ccpt	20.5		0.00692269
1_1	1	Ccpt	20.6		0.00675919
1_1	1	Ccpt	20.7		0.00659956
1_1	1	Ccpt	20.8		0.0064437
1_1	1	Ccpt	20.9		0.00629151
1_1	1	Ccpt	21		0.00614293
1_1	1	Ccpt	21.1		0.00599785
1_1	1	Ccpt	21.2		0.00585621
