iter	M_lnCltot(1)	M_lnClmet(1)	M_lnkufrac(1)	M_lnVdist(1)	M_lnVdistmet(1)	M_lnkgutabs(1)	M_lnFgluc(1)	SD_lnCltot(1)	SD_lnClmet(1)	SD_lnkufrac(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	SD_lnkgutabs(1)	SD_lnFgluc(1)	GSD_Ccpt(1)	GSD_Ctot(1)	GSD_Qu(1)	GSD_Qu_tot(1)	lnCltot(1.1)	lnClmet(1.1)	lnkufrac(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnkgutabs(1.1)	lnFgluc(1.1)	lnCltot(1.2)	lnClmet(1.2)	lnkufrac(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnkgutabs(1.2)	lnFgluc(1.2)	lnCltot(1.3)	lnClmet(1.3)	lnkufrac(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnkgutabs(1.3)	lnFgluc(1.3)	lnCltot(1.4)	lnClmet(1.4)	lnkufrac(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnkgutabs(1.4)	lnFgluc(1.4)	lnCltot(1.5)	lnClmet(1.5)	lnkufrac(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnkgutabs(1.5)	lnFgluc(1.5)	lnCltot(1.6)	lnClmet(1.6)	lnkufrac(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnkgutabs(1.6)	lnFgluc(1.6)	lnCltot(1.7)	lnClmet(1.7)	lnkufrac(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnkgutabs(1.7)	lnFgluc(1.7)	lnCltot(1.8)	lnClmet(1.8)	lnkufrac(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	lnkgutabs(1.8)	lnFgluc(1.8)	lnCltot(1.9)	lnClmet(1.9)	lnkufrac(1.9)	lnVdist(1.9)	lnVdistmet(1.9)	lnkgutabs(1.9)	lnFgluc(1.9)	lnCltot(1.10)	lnClmet(1.10)	lnkufrac(1.10)	lnVdist(1.10)	lnVdistmet(1.10)	lnkgutabs(1.10)	lnFgluc(1.10)	LnPrior	LnData	LnPosterior
0	-1.63631	-3.02436	-0.614281	3.75055	0.182654	1.69912	-3.97389	0.182275	0.118439	0.0112359	0.0312197	0.03016	0.223946	0.0651715	1.56425	1.28431	1.17252	1.90254	0.33735	0.935717	-0.174737	-0.665286	0.0983047	1.04294	-1.01664	-0.845047	-1.22757	0.282788	-0.502927	-1.43287	-0.603981	0.594725	0.332979	-0.540984	1.12949	0.777754	0.403307	2.19517	0.958746	0.214659	0.771264	0.512709	1.50229	1.3417	1.05315	0.361106	-2.21396	0.143563	0.924738	0.76876	-0.124912	-0.667773	-1.2224	-1.18895	0.8366	0.310373	-0.0136099	-1.30842	-1.57931	0.174785	0.966683	-1.58446	-0.753472	-0.526115	0.81419	0.103965	-0.277809	1.297	-0.648285	1.08966	0.464509	1.02752	-1.04278	-0.0176539	0.0078886	0.860159	-2.18427	1.24483	0.269733	0.442008	-0.479282	-0.622378	0.305325	-0.22692	1.45995	0.390316	1.35894	0.244049	-1.087351e+002	-1.190647e+004	-1.201521e+004
50	-0.72547	0.774167	-1.02503	1.64543	2.92685	4.7344	-4.08335	0.499916	0.199839	0.282619	0.521553	0.0840936	0.0320503	0.0371267	2.17145	1.82181	1.35399	1.24929	0.351767	0.0537701	-2.80655	-2.55429	-0.340407	0.111551	-0.930906	2.11955	-1.26571	0.102462	-1.51593	1.28895	-2.3102	-2.75622	1.3569	0.0578621	-1.74499	-0.932941	-0.0955836	0.558289	-0.674299	2.01379	-0.0138016	1.62535	-1.11974	-0.93208	0.105934	1.22466	1.75206	0.36159	0.114203	-0.903443	-0.0598399	0.86225	-1.38062	0.492771	1.89214	-1.46838	1.26159	0.739564	0.427765	-2.1507	0.249422	0.502296	-0.318835	-3.92434	-0.000919191	-0.259293	0.357631	0.544718	0.333987	-0.911838	1.15723	-0.848875	1.35896	1.5155	2.66673	-1.22753	-2.48607	0.605123	0.153568	-1.33217	-0.319118	2.13449	0.317776	-2.06118	0.333955	-0.193828	1.05709	-0.340606	-1.526516e+002	-1.558040e+003	-1.710691e+003
100	-0.649953	2.76555	-1.23807	1.54599	1.90221	2.8842	-2.82647	0.56788	0.351676	0.370462	0.4469	0.411848	0.254092	0.394756	2.04766	1.72838	1.20587	1.1034	0.0337541	-0.732759	-1.40398	-2.05437	0.378686	-0.539575	-0.354606	1.97173	-1.21273	1.06214	-1.41899	0.347839	-0.441805	-0.204452	2.42627	-0.124143	-1.96822	0.161641	-1.68196	0.0800734	1.90054	1.63261	0.638065	1.87203	-0.701965	2.1683	-0.576199	2.18604	1.20373	1.01266	0.041583	-0.79786	0.691343	0.0160417	3.48463	0.630642	0.440025	-1.9972	0.263205	0.302861	-0.576656	0.289496	1.72793	-0.382183	0.5461	-2.33063	-1.57382	1.64782	-0.0330956	3.28055	-0.877079	-2.15931	0.428919	0.684142	0.884127	-1.63284	2.16022	-0.814036	-1.68344	1.3631	2.55378	-1.35835	-0.0518278	2.26787	-0.403242	-1.70886	0.489393	1.22629	-2.38025	0.368885	-1.618017e+002	-1.430382e+003	-1.592183e+003
150	-0.546327	2.30647	-1.24418	1.49676	1.77669	4.15892	-2.82442	0.633506	0.12088	0.368725	0.508059	0.458365	0.310721	0.543632	1.98169	1.79235	1.10053	1.11802	-0.564951	-1.36665	-1.52355	-1.87981	-1.37145	0.784713	0.177229	1.56393	0.911844	0.799411	-1.50887	-0.435351	1.06956	-0.568946	1.97593	0.0266831	-1.8654	0.58296	-2.00456	0.14928	1.32895	1.50631	-1.10798	1.09442	-1.1002	0.277565	0.976489	2.36533	1.16572	0.114643	-0.444217	-0.379198	1.26271	1.21338	2.96444	0.497396	0.994428	-2.09146	0.422767	-0.586097	-0.38544	0.572967	1.39975	0.222393	0.414412	-1.66801	0.415017	0.671374	0.406484	2.89864	0.0245488	-1.90469	0.923036	1.81678	-1.82688	-2.63478	2.14136	-0.928507	-1.22979	1.79329	0.953807	-0.772956	-1.85038	1.62238	0.719932	-1.63179	0.238623	0.980079	-1.0235	0.0265296	-1.570952e+002	-1.390159e+003	-1.547255e+003
200	-0.346976	3.95134	-1.25175	1.42085	2.15187	3.21966	-2.58447	0.638505	0.0323122	0.414332	0.530828	0.568795	0.0830574	0.438214	2.18522	1.95659	1.10717	1.13152	-0.640774	0.452074	-1.08103	-0.958422	0.022508	-0.473244	-0.223343	0.887418	-0.37593	0.811921	-1.61563	1.40173	-0.0333783	-0.602291	0.750248	2.04925	-1.62149	-0.278511	0.395589	-0.380212	1.24703	1.09299	0.841558	1.50799	-0.317644	0.366287	-0.0609294	-0.486671	0.612826	0.115215	-0.407147	-0.302713	-0.61158	-1.15429	3.05334	0.219302	-0.762853	-2.00726	0.33234	-0.638128	1.39106	0.0333454	0.715427	0.65353	0.312962	-2.22668	-0.977067	0.162037	-0.00143959	2.34266	1.23211	-1.7522	1.14046	2.55276	1.21832	-2.92132	1.56542	0.663095	-1.15217	1.07707	0.967256	-0.849187	-1.71749	1.26757	0.402047	-1.37803	0.586702	0.927876	-0.357862	-0.0207778	-1.428316e+002	-1.403548e+003	-1.546379e+003
250	-0.260433	3.42039	-1.20563	1.16855	2.76821	3.03986	-2.44052	0.607706	0.0110944	0.416038	0.675038	0.421254	0.186978	0.521509	1.91821	1.81165	1.10173	1.10362	-1.66238	-0.862943	-1.05643	-1.13773	0.244935	-1.12036	-0.0689902	0.577976	-1.68056	0.620674	-1.2221	0.643114	1.22975	0.118659	0.235813	-0.806063	-1.87085	-0.544544	-0.853098	-0.0906098	0.978833	1.30741	1.13577	1.35258	0.416065	-0.357782	1.71409	1.04636	1.10862	-1.50414	-0.478006	0.689277	-0.40355	-0.0649928	2.40074	-0.203803	-0.194028	-1.95794	0.297037	0.878623	-0.468773	-0.715897	0.71376	-0.674223	0.235816	-1.16486	-1.4437	0.639033	0.52132	2.18676	0.172226	-1.89108	1.36327	1.33236	-0.481807	-2.01487	1.40102	0.025883	-1.15128	1.48061	0.632251	-0.0379192	-2.84	1.60013	-0.730249	-1.51961	0.987559	-0.0648763	-0.444438	-0.450922	-1.410273e+002	-1.391873e+003	-1.532900e+003
300	-0.116469	4.19515	-1.2077	1.07697	2.11431	3.21583	-2.69426	0.617295	0.268115	0.366197	0.774152	0.236758	0.456063	0.594853	2.03976	1.71823	1.10046	1.13073	-1.63955	1.68756	-1.36341	-0.766309	0.0306523	0.188364	0.133876	0.447154	-0.441477	0.588635	-0.840403	0.175389	0.834961	-0.830025	-0.25714	-0.32331	-2.05386	-0.376659	0.383307	-0.349799	1.10089	0.97893	-2.19527	0.942158	-0.215492	0.784719	-0.809518	1.16569	1.02426	-1.41336	-0.699924	0.75806	-1.1955	-0.296358	2.19793	-0.206095	-0.271952	-2.35658	0.671184	-0.656529	-0.022478	-0.11133	0.721146	1.3409	0.141854	-0.676029	-1.93193	0.494605	0.702878	2.78083	-1.25759	-2.08634	1.96641	1.01796	-0.366636	-1.57996	1.51907	0.468522	-1.31827	1.76698	0.610914	0.436326	-0.886946	1.52142	-1.1592	-1.68449	1.14418	0.441336	2.05041	-0.383121	-1.482919e+002	-1.396056e+003	-1.544348e+003
350	-0.141162	6.89966	-1.22831	1.06636	3.31681	2.98371	-2.52448	0.521031	0.156551	0.338112	0.624922	0.342303	0.0777771	0.514297	1.9753	1.89112	1.10021	1.11957	-2.02558	0.602601	-1.48027	-0.898816	1.28948	-2.30858	-0.119863	0.604104	1.83515	1.00588	-0.61379	-0.295793	-0.0364468	-0.484448	0.304803	1.3668	-2.16942	-0.0854682	0.419185	-2.17195	0.849375	1.28619	0.844272	1.209	0.141649	-0.600757	-0.64004	2.58491	0.567857	0.205427	-0.531664	0.41992	-1.07304	-1.26729	2.26537	-0.550688	-1.35869	-2.47066	0.519483	-1.44292	1.16753	-0.294414	0.803258	0.708868	0.176213	-0.786909	-1.67546	0.65736	0.88165	1.47656	0.274151	-2.11573	0.786297	-0.69527	-1.38142	-2.35991	1.50509	-0.864396	-1.33059	1.88551	-0.170472	-0.0660033	-2.54499	1.25835	-1.0306	-1.69187	1.22183	1.25735	1.26642	0.0668254	-1.533553e+002	-1.395931e+003	-1.549286e+003
400	-0.114182	4.47105	-1.21196	1.15441	2.18396	2.81148	-2.6534	0.500192	0.285017	0.312032	0.601368	0.169905	0.398472	0.549025	2.24506	1.79579	1.10052	1.11408	-1.60729	-0.0581165	-1.92271	-1.00825	-2.09172	0.0697669	0.2905	0.864128	-0.460426	0.822193	-0.91907	2.26115	-0.529074	-0.195472	0.393592	0.740404	-2.18369	-0.16398	0.0513772	-0.00987872	1.14761	1.90456	-0.901179	1.28884	0.726645	1.4157	2.36017	3.11615	0.629974	0.0395571	-0.401279	0.477576	-0.439128	-1.16476	2.24257	-0.820421	-1.00405	-2.52598	0.49872	0.366611	-0.108296	0.138125	0.492039	0.0716805	0.439919	-1.40381	-0.834209	-0.131191	0.538115	2.57315	-0.524666	-2.34482	1.7638	0.330016	-1.7092	-2.04379	1.27949	0.00547086	-1.58969	1.46757	0.681631	-0.516214	-1.19632	1.59616	1.20956	-1.97744	1.1897	-1.04723	-0.235238	-0.285833	-1.509699e+002	-1.387055e+003	-1.538025e+003
450	-0.034476	5.0108	-1.28897	1.33603	2.17131	3.63005	-2.87904	0.527177	0.0190357	0.325267	0.643459	0.0550001	0.384092	0.71023	2.1546	2.04158	1.10214	1.10346	-1.97866	-0.173869	-1.03076	-1.02864	-0.538659	0.846226	0.661112	0.916501	-1.6243	1.2359	-0.739537	-1.20871	-0.000406454	-1.27412	1.0455	0.329259	-1.85211	0.406641	-0.941796	-1.65871	1.00329	1.35188	-0.0777013	1.70134	0.106809	1.00805	0.108696	2.0888	0.357782	0.847988	-0.557678	0.0693929	-0.330525	0.315742	2.25569	-0.196115	-0.716951	-2.40319	0.526341	-0.91721	-0.0425378	0.188131	0.427991	0.207187	0.434037	-1.48742	-0.303921	1.51795	1.04713	2.80078	-1.00662	-2.08538	1.61241	0.717578	1.55788	-1.26727	1.44829	-0.489342	-1.24089	1.60677	-2.4691	-0.509278	-0.603259	0.793474	3.22025	-1.62558	0.42515	0.0640263	0.457291	-0.0443413	-1.511082e+002	-1.390024e+003	-1.541132e+003
