iter	M_lnCltot(1)	M_lnClmet(1)	M_lnkufrac(1)	M_lnVdist(1)	M_lnVdistmet(1)	M_lnkgutabs(1)	M_lnFgluc(1)	SD_lnCltot(1)	SD_lnClmet(1)	SD_lnkufrac(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	SD_lnkgutabs(1)	SD_lnFgluc(1)	GSD_Ccpt(1)	GSD_Ctot(1)	GSD_Qu(1)	GSD_Qu_tot(1)	lnCltot(1.1)	lnClmet(1.1)	lnkufrac(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnkgutabs(1.1)	lnFgluc(1.1)	lnCltot(1.2)	lnClmet(1.2)	lnkufrac(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnkgutabs(1.2)	lnFgluc(1.2)	lnCltot(1.3)	lnClmet(1.3)	lnkufrac(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnkgutabs(1.3)	lnFgluc(1.3)	lnCltot(1.4)	lnClmet(1.4)	lnkufrac(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnkgutabs(1.4)	lnFgluc(1.4)	lnCltot(1.5)	lnClmet(1.5)	lnkufrac(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnkgutabs(1.5)	lnFgluc(1.5)	lnCltot(1.6)	lnClmet(1.6)	lnkufrac(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnkgutabs(1.6)	lnFgluc(1.6)	lnCltot(1.7)	lnClmet(1.7)	lnkufrac(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnkgutabs(1.7)	lnFgluc(1.7)	lnCltot(1.8)	lnClmet(1.8)	lnkufrac(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	lnkgutabs(1.8)	lnFgluc(1.8)	lnCltot(1.9)	lnClmet(1.9)	lnkufrac(1.9)	lnVdist(1.9)	lnVdistmet(1.9)	lnkgutabs(1.9)	lnFgluc(1.9)	lnCltot(1.10)	lnClmet(1.10)	lnkufrac(1.10)	lnVdist(1.10)	lnVdistmet(1.10)	lnkgutabs(1.10)	lnFgluc(1.10)	LnPrior	LnData	LnPosterior
0	1.31961	-2.96746	-0.460013	-1.31244	-2.38765	2.62917	-2.30035	0.0258572	0.109431	0.00429871	0.18815	0.162988	0.0743006	0.280318	1.45182	2.23635	2.64387	1.19757	-0.191933	-1.74528	0.627945	-0.962349	1.23469	0.0702842	-1.26503	-0.59079	0.097783	-0.466735	1.81722	-1.63363	-0.592787	0.686751	0.629703	-0.0795571	0.72508	0.394929	-0.907486	-3.01262	-0.136136	0.665998	-0.313238	0.601179	0.787893	0.66662	-1.22919	0.238214	0.0973733	-2.85007	-0.343304	1.11282	-1.50187	0.525627	-0.894498	-2.37074	-0.986798	-1.31842	-0.752395	0.0207313	0.591997	0.479355	-0.946637	-0.920173	-0.0100688	-0.690729	0.604322	0.282915	1.05905	1.92938	1.48614	0.660484	1.10181	-1.65984	1.24452	-0.0196998	-0.0726502	-1.21472	-0.751846	-1.63941	0.15389	1.43516	0.505609	1.39329	-0.192877	-1.3191	2.06186	-0.316728	0.242518	-0.742437	-1.197000e+002	-6.929886e+004	-6.941856e+004
50	1.31961	0.146007	-1.40032	1.2185	1.74792	3.00045	-2.42086	0.744964	0.439915	0.343924	0.424984	0.601197	0.163016	0.318393	2.17688	1.81783	1.12072	1.21415	-1.49682	-2.51085	-1.29285	0.0704818	-2.06638	-0.408525	-0.779538	-0.4792	0.848015	1.42547	0.607483	-0.403607	1.20051	0.414746	-1.06023	0.839961	-1.46534	0.692094	-1.94933	-0.656124	1.67018	-0.531532	1.75257	1.74882	1.01437	-0.0588714	-0.492913	1.71213	-1.18403	2.88161	0.179489	1.0976	-1.34355	-0.728515	2.62354	-2.24066	0.736299	-1.85236	0.234851	0.153806	-0.812964	-0.0266453	-1.51682	-0.849368	0.957824	-2.042	-2.08253	-0.676102	-1.22273	0.258566	-0.565456	-1.4406	2.58352	3.09973	-0.701774	-0.699268	-0.967598	-1.18829	-0.730538	2.44263	-0.0624299	-0.502704	-0.943984	-0.564552	-0.766977	-1.37083	1.69859	0.373174	-0.56054	-0.112623	-1.576177e+002	-1.438384e+003	-1.596002e+003
100	1.23688	4.10183	-1.45126	1.43192	2.29966	3.36201	-2.41561	0.736215	0.0230563	0.333801	0.480765	0.21376	0.0464265	0.402051	2.03727	2.20013	1.11022	1.11278	-2.21317	-0.460039	-1.12741	-0.757235	0.667295	0.493831	-0.401493	-1.2237	-0.922261	1.71148	-1.20172	0.892728	0.902123	-1.26352	-1.15799	-1.19591	-1.35011	-0.0325479	-1.17702	-0.724649	1.04728	-0.171948	-1.27596	1.75388	0.785608	-0.367438	-1.87683	3.12351	-0.708437	0.103098	0.0995893	1.22337	-2.13777	0.700874	3.09387	-2.44762	-0.751601	-1.67098	-0.0300149	1.88977	-1.33207	-0.803679	-1.17394	0.0743762	1.07859	-1.87157	-0.818695	-0.805152	-0.530885	0.875578	1.29692	-1.52835	1.75212	2.38081	1.74979	-4.04061	-0.721116	-0.87771	-0.835659	1.89392	-0.638216	-0.405256	-2.59329	-0.420379	1.8109	-1.08151	1.54741	0.415607	-0.770176	-0.80464	-1.630510e+002	-1.396178e+003	-1.559229e+003
150	1.28833	2.61114	-1.41415	1.26438	1.9951	2.66965	-2.52109	0.712185	0.27154	0.330457	0.568432	0.415525	0.0414699	0.555573	2.03204	2.15434	1.10156	1.10477	-2.83885	-0.013687	-1.39399	-1.22376	-0.241198	-0.961612	-0.0525381	-1.21033	-0.444197	1.39001	-0.983872	1.80196	-1.72305	-0.083777	-1.06761	-0.644528	-1.31391	0.500181	-1.63338	0.151697	0.857204	0.200437	-0.00583063	1.64971	1.12681	0.260135	-0.77867	2.99714	-0.760742	-1.29114	-0.168086	1.09711	-1.27071	2.196	2.39596	-2.44319	-1.23751	-1.72212	0.37791	1.02585	1.60816	-0.292892	-1.72813	0.500146	1.0876	-1.63638	-0.994484	-0.474915	-0.693104	0.510007	1.15222	-1.67025	0.921861	1.53355	-2.01689	-2.31732	-0.826034	0.00683005	-0.853307	1.97437	-0.490952	1.17754	-1.54481	-0.815386	1.05512	-0.994668	1.24532	-0.385517	0.708835	-0.365365	-1.537204e+002	-1.400289e+003	-1.554009e+003
200	1.1522	4.76199	-1.39565	1.2659	1.5061	3.65764	-2.49335	0.531583	0.0507241	0.360552	0.657518	0.658355	0.140089	0.599743	1.89119	2.09247	1.10373	1.10834	-2.6233	-0.299086	-0.951311	0.0415991	-1.84171	0.317843	-0.292428	-1.29769	-0.546991	1.21756	-0.856432	-0.114792	0.248166	-1.52247	-1.44762	-0.451107	-1.38376	0.152554	-1.13226	-1.36243	0.661996	-0.166245	-0.387746	1.70609	0.678248	-0.703599	0.232779	1.72407	-1.5422	-0.610542	-0.137464	0.497403	-0.018288	1.2285	1.97912	-2.54824	-0.247482	-1.7717	0.611586	1.50733	1.09005	-0.0773354	-1.31726	-0.411318	0.97296	-0.689614	0.19108	-0.151857	0.954381	0.335551	0.0943403	-1.456	1.26216	0.36973	0.033402	-2.3378	-0.154984	0.0830512	-0.870561	2.14988	0.551987	-0.266053	-1.8976	-0.795701	0.291482	-0.923815	1.176	-0.234382	0.470759	-0.860026	-1.425892e+002	-1.399775e+003	-1.542364e+003
250	1.21996	3.61719	-1.39662	1.31595	2.44451	2.77211	-2.49272	0.486968	0.412554	0.343243	0.499935	0.0547222	0.0351875	0.649044	1.92934	2.08658	1.10426	1.12093	-2.65453	0.144	-1.48515	-0.176361	-0.787041	-1.11914	-0.483553	-1.40366	-1.19419	1.55145	-0.449654	1.06487	-0.924301	0.10935	-1.61981	-0.567772	-1.57455	0.179085	0.785243	-1.12089	0.758729	-1.18467	1.41976	1.8789	0.233207	0.815466	0.971892	2.0779	-1.83101	-0.335289	0.177771	0.605313	-2.18929	-0.459898	1.8259	-2.62183	-2.55593	-2.01188	0.832466	-0.739234	-1.10665	-0.0725035	-0.899814	1.18268	0.769027	-0.767091	-1.05762	0.754461	1.11236	0.435594	0.440467	-1.68634	1.23128	0.257521	-0.386628	-3.16731	-0.660591	-0.297581	-1.0238	2.13161	1.06992	0.569079	-1.44903	-1.06154	-1.53635	-1.23007	1.14204	-0.0853349	0.907185	-0.52518	-1.494593e+002	-1.403806e+003	-1.553265e+003
300	1.18886	6.55004	-1.35248	1.21097	2.26548	2.82152	-2.48311	0.539685	0.0388241	0.354916	0.640517	0.193206	0.0162048	0.525406	2.12569	1.95665	1.10251	1.11434	-3.4642	-0.525025	-1.12449	-0.615486	-0.693002	-0.206578	-0.0408658	-1.04125	0.288802	1.2492	-0.302595	-1.56706	-1.84661	0.772858	-2.00631	-1.67357	-1.44593	-0.151332	-0.795568	0.337162	0.861548	-1.34916	-1.39518	1.49173	-0.080961	1.99947	0.543878	2.22361	-1.75253	0.0455254	-0.129493	0.242669	0.0248881	0.64646	2.1695	-3.13626	0.497478	-1.99548	0.220113	1.30967	-0.299556	-0.710735	-1.06258	-0.139324	0.861334	-0.606861	-0.667632	0.923147	0.208042	-0.471298	-0.0966278	-1.54947	1.29449	0.313364	-0.399856	-2.93453	-0.521214	1.32593	-0.892158	2.04668	0.891744	1.17643	-2.36048	-1.22263	0.248796	-1.23962	1.0135	1.25516	-1.30801	-0.759969	-1.534059e+002	-1.393577e+003	-1.546983e+003
350	1.00814	3.5942	-1.29129	1.12685	2.04554	3.25103	-2.55149	0.529228	0.130924	0.401187	0.575235	0.0582232	0.237382	0.73929	1.91889	1.68208	1.10114	1.1193	-3.1525	0.388254	-1.29698	-0.713858	0.223401	0.522096	-0.726655	-0.689352	-0.972683	1.0736	-0.00283402	-0.382465	-0.343455	-0.232779	-1.89929	-0.158809	-1.58324	-0.0620116	0.20095	-0.325321	0.700531	-1.01042	2.01217	1.35482	0.240191	-0.162441	1.8238	1.57164	-1.08393	0.935213	-0.265945	0.886233	-0.193244	0.043927	1.7456	-2.85238	-2.02442	-1.80376	0.533589	0.768397	1.00161	-0.4013	-1.3426	-1.76675	0.64399	-0.933128	0.321174	-1.49439	0.284846	1.08557	0.525506	-1.61726	1.22766	0.0294131	1.90891	-2.14333	-0.0875264	-0.210562	-0.948818	2.30768	-1.50837	-0.549097	-1.504	-0.566296	0.827038	-1.3483	1.24954	-0.189658	1.00331	-0.672743	-1.457222e+002	-1.393334e+003	-1.539056e+003
400	1.06056	3.78884	-1.3332	1.21934	2.32206	3.41108	-2.50724	0.518865	0.0671338	0.365208	0.571485	0.367028	0.0399567	0.701798	1.92086	1.88521	1.10006	1.10236	-2.68197	-0.829415	-1.59114	-0.697219	-0.104531	-1.15078	-0.40917	-1.08917	0.391641	0.917737	-0.788581	-0.32713	1.32521	0.451618	-1.91243	0.918878	-1.62347	-0.433373	-1.20147	2.06718	0.576875	-0.962376	0.256349	1.69848	0.273322	2.20173	1.00923	1.43503	-0.750606	-1.06807	-0.285926	1.09054	-1.37131	0.599896	1.87904	-2.90162	-2.8546	-2.05357	0.275283	0.426347	0.534446	-0.230856	-2.41682	-1.18394	0.479451	-2.0291	-1.09171	-0.449528	0.802651	1.08348	0.352779	-1.55246	2.66026	0.898319	-0.622589	-2.20611	-0.800037	0.721986	-0.984632	1.69463	1.73352	0.783729	-1.46079	-0.580369	1.39783	-1.3452	1.27573	0.209032	-0.132555	-0.697801	-1.568865e+002	-1.383600e+003	-1.540487e+003
450	0.935602	3.98767	-1.33854	1.34549	2.67542	2.56656	-2.09541	0.548603	0.0256499	0.360736	0.605422	0.155503	0.100582	0.521603	1.87447	1.82772	1.11268	1.121	-2.69826	1.0454	-1.36564	-0.658151	-0.189373	1.8072	-1.07098	-0.689471	-0.619075	1.17587	-0.7233	0.0330661	-0.207177	-0.447217	-1.6891	-0.100483	-1.65737	-0.674525	-1.44174	-1.31263	0.0548329	-0.660413	2.78866	1.9777	-0.00777018	-0.843851	-0.300725	0.372425	-0.932441	0.452185	0.0955716	0.652204	0.0596136	0.255188	1.51081	-2.49643	1.43171	-1.78004	0.295249	-1.49779	0.353025	-0.90415	-1.72662	0.43832	0.848547	-2.12566	-0.0811927	-0.0828907	-0.615971	1.10586	0.419861	-1.73636	0.433128	-0.682564	-2.79198	-3.39041	-0.397056	1.76593	-1.01331	1.72614	0.26664	0.887063	-1.95	-0.215787	-0.378494	-1.27784	1.21083	-0.536463	0.352813	-1.56782	-1.483228e+002	-1.407101e+003	-1.555424e+003
