iter	M_lnCltot(1)	M_lnClmet(1)	M_lnkufrac(1)	M_lnVdist(1)	M_lnVdistmet(1)	M_lnkgutabs(1)	M_lnFgluc(1)	SD_lnCltot(1)	SD_lnClmet(1)	SD_lnkufrac(1)	SD_lnVdist(1)	SD_lnVdistmet(1)	SD_lnkgutabs(1)	SD_lnFgluc(1)	GSD_Ccpt(1)	GSD_Ctot(1)	GSD_Qu(1)	GSD_Qu_tot(1)	lnCltot(1.1)	lnClmet(1.1)	lnkufrac(1.1)	lnVdist(1.1)	lnVdistmet(1.1)	lnkgutabs(1.1)	lnFgluc(1.1)	lnCltot(1.2)	lnClmet(1.2)	lnkufrac(1.2)	lnVdist(1.2)	lnVdistmet(1.2)	lnkgutabs(1.2)	lnFgluc(1.2)	lnCltot(1.3)	lnClmet(1.3)	lnkufrac(1.3)	lnVdist(1.3)	lnVdistmet(1.3)	lnkgutabs(1.3)	lnFgluc(1.3)	lnCltot(1.4)	lnClmet(1.4)	lnkufrac(1.4)	lnVdist(1.4)	lnVdistmet(1.4)	lnkgutabs(1.4)	lnFgluc(1.4)	lnCltot(1.5)	lnClmet(1.5)	lnkufrac(1.5)	lnVdist(1.5)	lnVdistmet(1.5)	lnkgutabs(1.5)	lnFgluc(1.5)	lnCltot(1.6)	lnClmet(1.6)	lnkufrac(1.6)	lnVdist(1.6)	lnVdistmet(1.6)	lnkgutabs(1.6)	lnFgluc(1.6)	lnCltot(1.7)	lnClmet(1.7)	lnkufrac(1.7)	lnVdist(1.7)	lnVdistmet(1.7)	lnkgutabs(1.7)	lnFgluc(1.7)	lnCltot(1.8)	lnClmet(1.8)	lnkufrac(1.8)	lnVdist(1.8)	lnVdistmet(1.8)	lnkgutabs(1.8)	lnFgluc(1.8)	lnCltot(1.9)	lnClmet(1.9)	lnkufrac(1.9)	lnVdist(1.9)	lnVdistmet(1.9)	lnkgutabs(1.9)	lnFgluc(1.9)	lnCltot(1.10)	lnClmet(1.10)	lnkufrac(1.10)	lnVdist(1.10)	lnVdistmet(1.10)	lnkgutabs(1.10)	lnFgluc(1.10)	LnPrior	LnData	LnPosterior
0	-1.06032	-1.48695	-1.44025	-2.82573	-0.845441	1.41205	-1.45013	0.0680975	0.255531	0.276691	0.0559662	0.252693	0.0222202	0.0446466	2.99747	2.6448	1.1062	1.19649	-1.18594	-0.0682625	0.240411	-0.0428733	-0.0526223	0.569427	-0.20826	0.339986	-2.26775	0.400149	1.31282	-1.01723	1.55137	1.85507	-0.978095	1.41261	1.55897	0.527404	-0.264122	0.55665	-0.770817	-1.45648	0.473854	0.481166	0.923512	0.29835	-1.02626	-1.92371	0.30978	-2.06046	2.45831	0.350813	0.268311	-1.0638	1.11873	0.382376	0.205367	-0.167209	0.261614	0.409359	-2.23471	0.882265	-0.543975	-1.64915	0.244111	0.942332	-1.22652	-1.6813	0.784381	-1.52974	-1.49404	-0.539201	0.472239	1.94769	0.159349	0.337209	0.314028	-0.275424	1.22587	0.732734	-0.549671	-0.191522	1.70778	-1.48604	-0.0549043	0.365825	-0.361083	-0.314558	0.762677	1.14592	-1.163359e+002	-8.458196e+003	-8.574532e+003
50	-1.84472	-1.35076	-1.48302	0.185746	2.83245	3.1347	-1.26333	0.456441	0.546357	0.567992	0.228905	0.304924	0.445768	0.138096	2.9609	2.83119	1.12026	1.19642	1.14765	1.0585	-0.670585	-0.685464	-1.37335	0.981304	0.386112	4.15273	1.96697	1.02132	0.897341	1.13724	0.865084	-2.20736	2.45366	1.67147	-0.689186	0.109375	0.513869	0.561648	1.32607	1.92025	-0.0142596	1.62488	-0.9716	1.22893	-1.54019	0.838993	3.87296	1.84754	0.0500242	2.80653	-1.53284	0.908966	0.846054	0.014936	-0.657085	-0.956084	-1.62082	1.03004	0.266682	1.18021	2.90651	-1.0706	0.811496	-1.34769	0.132037	0.652109	-1.85087	3.01672	0.00767471	-0.925793	0.437907	0.538861	0.916326	0.388703	3.55525	-1.1369	-0.248237	5.14733	1.21498	-1.40316	0.0148223	2.77258	-0.678926	-0.571324	2.12799	-0.663325	0.491583	-1.99676	-1.853661e+002	-1.525310e+003	-1.710676e+003
100	-1.49324	-1.01554	-1.51199	0.420033	2.66677	2.73353	-1.45519	0.645696	0.734397	0.554449	0.405746	0.461612	0.129696	0.00131416	2.69335	2.15798	1.1085	1.18906	0.540127	0.463865	-0.395119	0.218225	-1.2668	-0.797283	-0.140177	2.75657	-0.557038	1.00264	0.544175	1.32995	0.159601	1.54199	1.30028	1.19057	-0.876076	-1.08391	0.0564262	0.560212	-0.0791016	2.48493	3.00211	1.30381	-0.181466	-1.21809	0.202803	1.91123	2.24034	2.86723	0.193554	1.25661	-0.478749	-1.47513	-0.795511	0.114684	-0.633568	-1.0453	-0.216706	0.392735	-0.297221	0.782105	2.48232	0.98399	0.702166	-0.548881	-0.437568	-1.03296	0.40502	3.7535	0.0347405	-0.899164	2.45929	1.93619	-1.22407	0.377213	2.25595	-0.246545	-0.344418	2.30847	2.22846	1.29999	-1.49716	2.74736	-0.94679	-0.503649	2.66823	-0.0387093	0.564808	0.0703486	-1.652203e+002	-1.474604e+003	-1.639824e+003
150	-1.26564	-1.17715	-1.51877	0.597615	2.01277	3.05336	-1.73163	0.75614	0.106882	0.473832	0.494454	0.721427	0.334514	0.0518853	2.16599	1.85605	1.10683	1.23359	0.785071	-0.144013	-0.778719	-0.0103496	-1.01959	0.129848	1.35767	2.57134	-2.01248	1.27395	1.11537	0.563095	-0.223014	-1.02107	1.41228	1.18696	-0.736789	0.248638	-1.14392	0.985066	-0.0704546	1.72147	0.806974	1.6732	0.362398	-0.219839	-1.54568	-1.51725	1.60023	0.78619	0.337285	1.08973	-1.68861	0.637863	0.525996	0.572755	-0.354135	-0.971565	0.843886	0.809697	-2.08927	0.0676123	2.15876	0.747735	0.873054	-0.0447062	-0.88207	2.29843	0.80353	3.10183	-1.37083	-0.934735	2.54914	1.84061	0.126022	-0.753506	1.89889	-0.346413	-0.247539	2.45897	2.22305	-2.03607	0.299333	2.41071	-1.73	-0.497071	2.15336	0.62852	0.0824635	0.833086	-1.581009e+002	-1.455387e+003	-1.613487e+003
200	-1.03537	3.13838	-1.58784	0.782728	1.87584	3.23754	-2.41962	0.715703	0.2008	0.474761	0.52662	0.216774	0.175232	0.483391	2.04626	 2.21	1.10195	1.10551	0.278799	1.45317	-0.455042	-0.313559	-1.14402	0.0154876	-0.968534	2.74441	-0.282876	1.20121	0.858077	0.374216	-1.81648	1.15966	1.67224	-1.48659	-0.796892	0.689335	-0.743332	-0.359008	1.01138	1.38388	-0.22412	1.91052	0.315803	-1.1505	1.76591	2.49512	1.60498	-0.0294633	0.461686	1.167	-0.451324	0.340686	2.58996	0.778584	-0.867622	-0.960003	0.885052	0.0762814	-0.941141	-0.692486	1.497	0.196487	1.09796	-0.94771	-0.719424	0.472925	-0.0938267	3.62799	0.989544	-0.752287	2.10786	1.00797	0.253679	-3.34971	1.81115	1.53829	-0.0654481	2.33968	1.58369	0.98964	-3.23368	2.22627	-0.84223	-0.533838	1.73369	1.66208	0.856524	-0.463146	-1.621544e+002	-1.398110e+003	-1.560264e+003
250	-1.05237	5.73791	-1.63772	0.924808	3.09921	3.14313	-2.50094	0.735143	0.00649464	0.483283	0.490647	0.0613506	0.0121418	0.461097	1.96125	1.8984	1.11742	1.12102	0.988639	-0.661625	-0.479873	0.0326132	-2.10939	-0.833997	-0.958332	1.87771	-0.443178	1.39406	-0.209796	-1.26762	0.562947	0.92089	1.16435	0.592105	-0.55026	-0.177952	-0.875097	-1.44989	0.515531	1.42209	-0.437911	1.81552	-0.37959	-1.63387	1.66112	2.02989	1.34798	0.436358	0.521569	0.384767	-2.14002	0.361809	2.58996	0.663159	0.86912	-0.804612	0.727204	-1.17746	-0.980893	-0.863291	1.49168	-0.472694	1.06692	-1.49852	0.649208	-1.20215	0.346441	3.2097	-1.27548	-0.793385	1.73822	0.330523	0.19196	-2.53096	1.79271	0.737254	-0.157592	1.8798	-0.789353	0.192503	-2.10055	2.34046	1.66208	-0.387112	1.77098	-0.418335	0.20623	-0.936049	-1.524611e+002	-1.406849e+003	-1.559310e+003
300	-0.951851	5.57464	-1.61005	0.830822	3.43863	2.70101	-2.612	0.766532	0.0742743	0.399266	0.565906	0.212244	0.0714638	0.548676	1.94303	1.78538	1.10231	1.1059	0.0642923	-2.1935	-0.662536	-0.695073	-0.0880857	1.19532	-0.239656	1.94107	0.174609	1.6303	0.100776	-0.824991	0.413794	-1.09319	1.41892	-2.68286	-0.774683	0.389857	-0.946008	0.753692	0.966236	1.8238	-1.33708	2.091	0.743727	-0.861795	0.289962	3.37151	1.14483	1.39535	0.379959	0.317875	0.379295	0.375502	2.2664	0.460094	-0.105025	-0.981299	0.654474	-0.0493433	0.205312	-0.774029	1.03099	1.01298	1.30462	-1.5052	-0.498653	0.748923	0.181676	2.36246	1.98969	-0.798688	1.99562	0.925517	0.784389	-2.04557	2.2888	0.064787	-0.10714	2.89857	0.701383	0.932885	-2.10566	1.71924	-1.50971	-0.367071	1.33503	0.100461	0.699458	-0.547872	-1.566663e+002	-1.393062e+003	-1.549729e+003
350	-0.741609	4.04143	-1.63861	0.852566	2.32549	2.93718	-2.52469	0.737095	0.171368	0.410393	0.498818	0.0386462	0.122069	0.617657	1.99261	1.93172	1.10112	1.11808	-0.482099	-0.738341	-0.263574	-1.27193	-0.78552	0.64617	-2.3916	1.28848	0.260771	1.74939	-0.277412	-0.863119	-0.252597	-0.383913	1.14152	-0.552966	-0.563018	0.463899	2.15748	1.64159	0.870452	2.10504	1.63931	2.32068	1.39399	-1.22863	-1.14604	1.92556	1.07373	-0.275898	0.672351	0.826885	-0.917715	-0.694293	1.76106	0.30186	-1.55551	-1.04676	1.08617	-0.927923	-0.225547	-0.256454	0.758252	-0.493863	1.17665	-1.99892	1.52841	-1.11027	-0.0712329	2.37458	-0.349565	-0.692185	2.24236	0.0182672	-0.796924	-2.12232	1.61735	0.838612	-0.0241974	2.55569	1.40332	0.304284	-1.6747	1.68069	0.364786	-0.364763	1.77315	-1.32871	-0.366678	-0.420325	-1.502582e+002	-1.401045e+003	-1.551304e+003
400	-0.789767	4.13266	-1.68319	0.844362	2.61921	4.67482	-2.38572	0.805111	0.1093	0.401606	0.587179	0.164801	0.053424	0.646746	2.07536	2.08764	1.10036	1.10044	-0.423107	-0.7349	-0.150936	-0.619606	0.767169	0.939647	-0.646005	1.39175	0.081849	1.77514	-0.307726	0.865698	-0.468761	0.14313	1.25433	1.80546	-0.44758	0.684688	-2.21247	-0.511589	0.562708	1.83857	-0.156625	2.38283	1.25658	-1.19975	2.01422	1.76879	1.56096	2.66131	0.668906	1.59692	0.503628	-0.701599	1.77377	0.462303	1.79942	-0.834939	1.06607	-0.492059	0.533061	-0.422968	0.986718	0.739756	1.30452	-1.25024	0.825727	-0.62814	0.465546	2.07747	0.669945	-0.550847	2.22433	1.68647	-0.382335	-2.65345	1.74407	-0.709689	-0.132088	2.27623	-0.499525	0.381405	-1.56453	1.69876	0.412854	-0.325911	1.28423	-0.178218	-0.484949	-1.05547	-1.557049e+002	-1.393684e+003	-1.549388e+003
450	-0.631284	2.62934	-1.65527	0.972061	2.21617	2.46039	-2.45948	0.754535	0.121579	0.390671	0.493932	0.0550157	0.10813	0.636132	1.84069	2.01212	1.10317	1.10635	-0.422644	-0.793668	-0.299276	-0.949532	-0.278323	-1.268	-0.330222	1.61796	1.69127	1.95009	-0.0730464	0.214652	-0.0308516	-0.340679	1.38146	0.721494	-0.764575	0.735693	-0.412337	-0.622979	0.752776	1.65076	-0.184763	2.10862	0.597799	0.235448	-1.46877	2.34877	1.52096	0.267301	0.723292	1.29961	0.0269501	1.06603	1.8815	0.214581	-0.586917	-1.04919	0.759426	-1.14663	-1.54913	-0.338542	0.871241	0.501937	1.60365	-1.43947	-0.269628	0.245863	-0.639907	2.52143	0.439312	-0.90623	2.16375	1.70113	-0.377109	-2.14758	1.39467	-0.462253	-0.113298	2.0925	0.553786	0.930923	-1.57498	1.59658	2.33894	-0.401093	1.62271	1.97044	-0.0132627	-0.36901	-1.442156e+002	-1.389873e+003	-1.534088e+003
500	-0.477363	3.02259	-1.59873	1.17586	1.36196	2.80321	-2.72457	0.735304	0.354308	0.372802	0.471434	0.683038	0.302226	0.923788	2.32562	1.76784	1.1009	1.10687	-0.536992	0.182551	-0.44638	-1.03244	-0.260531	1.055	-0.338038	2.06441	1.66996	1.79757	0.206044	-0.27406	-1.05691	-1.04883	0.958013	-0.381363	-0.927955	0.113025	0.176796	0.339955	0.743664	1.26622	-0.417136	2.12235	-0.0488449	1.2431	-1.8828	1.70406	1.05209	1.08222	0.511523	0.350774	0.181951	0.808476	1.37302	0.123991	-0.646079	-1.08175	0.691706	1.01741	0.773453	-0.0988066	0.682121	0.639505	1.33823	-1.97496	0.405935	-0.353443	0.579139	1.95652	-1.38931	-0.995854	1.43326	2.13503	1.39083	-0.936826	1.03647	-0.214464	-0.0884011	1.56246	1.17041	-1.04368	-1.34014	1.52352	-0.362308	-0.450701	1.51834	1.38725	-1.19291	-0.266353	-1.484707e+002	-1.388142e+003	-1.536613e+003
550	-0.474179	3.02765	-1.61139	1.24964	2.09376	3.32799	-2.42795	0.643136	0.227607	0.37021	0.463962	0.355508	0.16209	0.786133	2.18301	1.70998	1.10014	1.10207	-0.573914	-0.113078	-0.728645	-1.86758	2.1703	0.332172	-0.861227	1.74773	-2.26845	1.92471	-0.336477	-0.229888	-1.27591	0.668706	0.946255	0.580431	-0.774979	-0.311496	-1.46042	1.7335	0.406921	1.77794	-0.321953	2.29876	0.28139	0.289957	0.787166	1.61274	1.21019	-0.86372	0.488057	0.47466	-0.646383	-1.06445	1.46391	0.208488	-0.870028	-1.13961	0.572929	0.261675	-1.02249	-0.315846	0.416717	1.09803	1.18494	-2.93651	-0.234388	1.49331	0.418525	2.04987	1.06639	-0.876615	0.787051	1.47083	-2.79048	-1.82804	0.737966	-1.42314	-0.0872581	0.8302	1.23856	-1.503	-1.76291	1.55769	1.9057	-0.627936	0.776686	0.310112	-0.840947	-0.903103	-1.514101e+002	-1.395480e+003	-1.546890e+003
600	-0.374782	3.93556	-1.59731	1.35751	2.39905	2.90673	-2.67536	0.625604	0.0156954	0.41893	0.480823	0.15427	0.047741	0.764407	1.6743	1.827	1.10895	1.11024	-0.465564	0.301047	-0.413692	-1.39074	-0.204624	-1.33853	-0.582515	1.62354	-1.01029	1.6382	-0.512681	0.128798	0.746277	-0.204727	0.749006	-0.12945	-0.77984	-0.570813	0.0828726	-1.19544	0.629084	1.17759	-0.541957	2.12309	-0.306751	-1.31302	-1.28817	2.37752	1.24395	-1.3586	0.332731	0.0820603	-0.561612	0.32888	1.60931	0.440404	0.851446	-1.09524	0.996651	0.941937	0.549616	0.199585	0.759511	-0.481021	1.17944	-2.41517	1.27871	1.20229	0.372743	2.57301	0.0635813	-0.81834	1.80614	0.586279	-1.02385	-1.94089	1.785	0.0560843	-0.208568	1.87132	0.321324	-0.763058	-2.80132	2.128	2.26137	-0.456365	1.82114	0.506147	-1.16705	-0.306385	-1.456747e+002	-1.388333e+003	-1.534007e+003
650	-0.38126	3.0522	-1.6602	1.43326	1.56394	3.50247	-2.23316	0.687374	0.361311	0.388674	0.460207	0.477884	0.11294	0.681506	2.05538	1.84195	1.102	1.11347	-0.86862	-0.953748	-0.375353	-2.31015	0.633641	-0.181662	-0.755306	1.39174	0.575227	1.8603	-0.887194	0.22698	-0.0514087	-0.436829	0.248629	-0.368794	-0.543659	-1.27924	-0.207796	1.31522	0.16156	1.14458	-0.808263	2.06828	-0.754118	1.28589	2.5137	1.21944	1.17516	0.207552	0.532146	0.420978	0.382963	-0.281843	1.56573	0.289125	1.43872	-0.898463	0.445141	-0.128133	-1.06025	-0.96366	0.634891	1.51752	1.64638	-2.24789	-0.254047	1.3799	-0.524701	3.01384	-0.108609	-0.832447	2.34326	1.60803	0.0380291	-2.65305	1.73648	0.483935	-0.108413	1.78924	-0.304476	-0.668832	-1.95307	1.6542	1.00782	-0.289544	1.18345	0.794583	0.269236	-1.05442	-1.497658e+002	-1.388515e+003	-1.538281e+003
700	-0.292445	3.3434	-1.54845	1.41799	2.16765	4.16645	-2.43447	0.606034	0.201891	0.465749	0.416323	0.268353	0.0345633	0.653793	1.75733	1.81776	1.10323	1.12469	-0.845385	-0.759855	-0.673438	-2.0286	-0.082929	-1.36892	-0.617506	1.23247	-0.647658	1.39894	-1.21967	-0.998947	0.990976	-1.36323	0.527003	-1.89497	-0.758871	-0.986541	-0.578679	-0.748266	0.393553	1.41233	0.0721659	1.86158	0.011498	-0.334042	-1.17063	1.954	1.09598	1.66143	0.369185	0.34492	-0.491998	-0.61738	1.72711	0.358055	-0.962003	-1.01209	0.798566	-0.0421073	-0.221009	-0.755213	0.373677	1.20128	1.02491	-2.73341	-0.626	-0.64174	0.451339	2.89816	-0.851151	-0.931462	2.14184	0.963615	1.39712	-1.99147	1.51964	0.291258	-0.203399	2.07321	0.349967	0.974696	-2.67685	1.82264	-1.44342	-0.568717	1.40266	0.877644	-0.897158	-0.694303	-1.481469e+002	-1.379712e+003	-1.527859e+003
750	-0.191295	4.53188	-1.54898	1.45942	2.06877	2.82366	-2.21626	0.571601	0.236306	0.484181	0.480789	0.241288	0.0680997	0.639507	2.0258	2.0481	1.10811	1.10954	-1.41539	-0.507722	-0.450078	-2.10478	0.0281236	1.16413	-0.736183	2.01664	-2.90894	1.23813	-0.126161	1.52288	-0.865275	-1.39835	0.769195	0.0503254	-0.504564	-0.15535	1.13016	-1.12656	0.122287	1.08153	0.0332435	1.72315	-0.731402	-1.64959	0.61951	1.75832	1.03541	1.48192	0.2861	-0.143628	0.0329142	0.253475	1.32087	0.800144	-0.521705	-0.969599	1.4253	-0.0997667	-1.39563	-0.67572	0.684941	2.50012	0.86916	-2.24229	0.0378675	-1.28014	-0.572308	2.44817	1.09331	-0.779981	1.77463	2.16869	1.08579	-2.98881	2.39215	0.106689	-0.300666	2.6496	0.277419	-0.636555	-2.27398	1.81677	-1.44966	-0.579881	0.901659	1.94156	0.742438	-1.14652	-1.582400e+002	-1.397776e+003	-1.556016e+003
