Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt	10.6		0.0332702
1_1	1	Ccpt	10.7		0.0324045
1_1	1	Ccpt	10.8		0.0315614
1_1	1	Ccpt	10.9		0.0307403
1_1	1	Ccpt	11		0.0299404
1_1	1	Ccpt	11.1		0.0291614
1_1	1	Ccpt	11.2		0.0284027
1_1	1	Ccpt	11.3		0.0276637
1_1	1	Ccpt	11.4		0.0269439
1_1	1	Ccpt	11.5		0.0262429
1_1	1	Ccpt	11.6		0.0255601
1_1	1	Ccpt	11.7		0.0248951
1_1	1	Ccpt	11.8		0.0242473
1_1	1	Ccpt	11.9		0.0236164
1_1	1	Ccpt	12		0.023002
1_1	1	Ccpt	12.1		0.0224035
1_1	1	Ccpt	12.2		0.0218206
1_1	1	Ccpt	12.3		0.0212529
1_1	1	Ccpt	12.4		0.0206999
1_1	1	Ccpt	12.5		0.0201613
1_1	1	Ccpt	12.6		0.0196367
1_1	1	Ccpt	12.7		0.0191258
1_1	1	Ccpt	12.8		0.0186282
1_1	1	Ccpt	12.9		0.0181435
1_1	1	Ccpt	13		0.0176715
1_1	1	Ccpt	13.1		0.0172117
1_1	1	Ccpt	13.2		0.0167639
1_1	1	Ccpt	13.3		0.0163277
1_1	1	Ccpt	13.4		0.0159029
1_1	1	Ccpt	13.5		0.0154891
1_1	1	Ccpt	13.6		0.0150861
1_1	1	Ccpt	13.7		0.0146936
1_1	1	Ccpt	13.8		0.0143113
1_1	1	Ccpt	13.9		0.0139389
1_1	1	Ccpt	14		0.0135762
1_1	1	Ccpt	14.1		0.013223
1_1	1	Ccpt	14.2		0.012879
1_1	1	Ccpt	14.3		0.0125439
1_1	1	Ccpt	14.4		0.0122175
1_1	1	Ccpt	14.5		0.0118996
1_1	1	Ccpt	14.6		0.01159
1_1	1	Ccpt	14.7		0.0112885
1_1	1	Ccpt	14.8		0.0109947
1_1	1	Ccpt	14.9		0.0107087
1_1	1	Ccpt	15		0.0104301
1_1	1	Ccpt	15.1		0.0101587
1_1	1	Ccpt	15.2		0.00989437
1_1	1	Ccpt	15.3		0.00963693
1_1	1	Ccpt	15.4		0.00938619
1_1	1	Ccpt	15.5		0.00914198
1_1	1	Ccpt	15.6		0.00890412
1_1	1	Ccpt	15.7		0.00867244
1_1	1	Ccpt	15.8		0.0084468
1_1	1	Ccpt	15.9		0.00822703
1_1	1	Ccpt	16		0.00801297
1_1	1	Ccpt	16.1		0.00780449
1_1	1	Ccpt	16.2		0.00760143
1_1	1	Ccpt	16.3		0.00740365
1_1	1	Ccpt	16.4		0.00721102
1_1	1	Ccpt	16.5		0.0070234
1_1	1	Ccpt	16.6		0.00684066
1_1	1	Ccpt	16.7		0.00666268
1_1	1	Ccpt	16.8		0.00648932
1_1	1	Ccpt	16.9		0.00632048
1_1	1	Ccpt	17		0.00615603
1_1	1	Ccpt	17.1		0.00599586
1_1	1	Ccpt	17.2		0.00583986
1_1	1	Ccpt	17.3		0.00568791
1_1	1	Ccpt	17.4		0.00553992
1_1	1	Ccpt	17.5		0.00539578
1_1	1	Ccpt	17.6		0.00525539
1_1	1	Ccpt	17.7		0.00511865
1_1	1	Ccpt	17.8		0.00498547
1_1	1	Ccpt	17.9		0.00485576
1_1	1	Ccpt	18		0.00472942
1_1	1	Ccpt	18.1		0.00460637
1_1	1	Ccpt	18.2		0.00448652
1_1	1	Ccpt	18.3		0.00436978
1_1	1	Ccpt	18.4		0.00425609
1_1	1	Ccpt	18.5		0.00414535
1_1	1	Ccpt	18.6		0.00403749
1_1	1	Ccpt	18.7		0.00393243
1_1	1	Ccpt	18.8		0.00383011
1_1	1	Ccpt	18.9		0.00373046
1_1	1	Ccpt	19		0.00363339
1_1	1	Ccpt	19.1		0.00353885
1_1	1	Ccpt	19.2		0.00344677
1_1	1	Ccpt	19.3		0.00335709
1_1	1	Ccpt	19.4		0.00326975
1_1	1	Ccpt	19.5		0.00318467
1_1	1	Ccpt	19.6		0.0031018
1_1	1	Ccpt	19.7		0.0030211
1_1	1	Ccpt	19.8		0.00294249
1_1	1	Ccpt	19.9		0.00286593
1_1	1	Ccpt	20		0.00279136
1_1	1	Ccpt	20.1		0.00271873
1_1	1	Ccpt	20.2		0.00264799
1_1	1	Ccpt	20.3		0.00257909
1_1	1	Ccpt	20.4		0.00251198
1_1	1	Ccpt	20.5		0.00244662
1_1	1	Ccpt	20.6		0.00238296
1_1	1	Ccpt	20.7		0.00232096
1_1	1	Ccpt	20.8		0.00226057
1_1	1	Ccpt	20.9		0.00220175
1_1	1	Ccpt	21		0.00214446
1_1	1	Ccpt	21.1		0.00208866
1_1	1	Ccpt	21.2		0.00203432
1_1	1	Ccpt	21.3		0.00198139
1_1	1	Ccpt	21.4		0.00192984
1_1	1	Ccpt	21.5		0.00187962
1_1	1	Ccpt	21.6		0.00183072
1_1	1	Ccpt	21.7		0.00178309
1_1	1	Ccpt	21.8		0.00173669
1_1	1	Ccpt	21.9		0.00169151
1_1	1	Ccpt	22		0.0016475
1_1	1	Ccpt	22.1		0.00160463
1_1	1	Ccpt	22.2		0.00156288
1_1	1	Ccpt	22.3		0.00152222
1_1	1	Ccpt	22.4		0.00148261
1_1	1	Ccpt	22.5		0.00144404
1_1	1	Ccpt	22.6		0.00140647
1_1	1	Ccpt	22.7		0.00136987
1_1	1	Ccpt	22.8		0.00133423
1_1	1	Ccpt	22.9		0.00129951
1_1	1	Ccpt	23		0.0012657
1_1	1	Ccpt	23.1		0.00123277
1_1	1	Ccpt	23.2		0.0012007
1_1	1	Ccpt	23.3		0.00116946
1_1	1	Ccpt	23.4		0.00113903
1_1	1	Ccpt	23.5		0.00110939
1_1	1	Ccpt	23.6		0.00108053
1_1	1	Ccpt	23.7		0.00105241
1_1	1	Ccpt	23.8		0.00102503
1_1	1	Ccpt	23.9		0.000998362
1_1	1	Ccpt	24		0.000972387
1_1	1	Ccpt	24.1		0.000947086
1_1	1	Ccpt	24.2		0.000922445
1_1	1	Ccpt	24.3		0.000898444
1_1	1	Ccpt	24.4		0.000875068
1_1	1	Ccpt	24.5		0.0008523
1_1	1	Ccpt	24.6		0.000830124
1_1	1	Ccpt	24.7		0.000808526
1_1	1	Ccpt	24.8		0.000787489
1_1	1	Ccpt	24.9		0.000767
1_1	1	Ccpt	25		0.000747044
1_1	1	Ccpt	25.1		0.000727607
1_1	1	Ccpt	25.2		0.000708676
1_1	1	Ccpt	25.3		0.000690237
1_1	1	Ccpt	25.4		0.000672278
1_1	1	Ccpt	25.5		0.000654786
1_1	1	Ccpt	25.6		0.00063775
1_1	1	Ccpt	25.7		0.000621156
1_1	1	Ccpt	25.8		0.000604995
1_1	1	Ccpt	25.9		0.000589254
1_1	1	Ccpt	26		0.000573922
1_1	1	Ccpt	26.1		0.00055899
1_1	1	Ccpt	26.2		0.000544446
1_1	1	Ccpt	26.3		0.00053028
1_1	1	Ccpt	26.4		0.000516483
1_1	1	Ccpt	26.5		0.000503045
1_1	1	Ccpt	26.6		0.000489956
1_1	1	Ccpt	26.7		0.000477208
1_1	1	Ccpt	26.8		0.000464792
1_1	1	Ccpt	26.9		0.000452699
1_1	1	Ccpt	27		0.00044092
1_1	1	Ccpt	27.1		0.000429448
1_1	1	Ccpt	27.2		0.000418275
1_1	1	Ccpt	27.3		0.000407392
1_1	1	Ccpt	27.4		0.000396792
1_1	1	Ccpt	27.5		0.000386468
1_1	1	Ccpt	27.6		0.000376413
1_1	1	Ccpt	27.7		0.000366619
1_1	1	Ccpt	27.8		0.00035708
1_1	1	Ccpt	27.9		0.00034779
1_1	1	Ccpt	28		0.000338741
1_1	1	Ccpt	28.1		0.000329927
1_1	1	Ccpt	28.2		0.000321343
1_1	1	Ccpt	28.3		0.000312982
1_1	1	Ccpt	28.4		0.000304839
1_1	1	Ccpt	28.5		0.000296907
1_1	1	Ccpt	28.6		0.000289182
1_1	1	Ccpt	28.7		0.000281658
1_1	1	Ccpt	28.8		0.00027433
1_1	1	Ccpt	28.9		0.000267192
1_1	1	Ccpt	29		0.00026024
1_1	1	Ccpt	29.1		0.000253469
1_1	1	Ccpt	29.2		0.000246874
