Results of Simulation 1

Time	Ccpt_out	Ctot_out	Qu_out	Qu_tot_out
12.5	1.18212e-005	2.36423e-005	49981.2	75141.5
12.6	1.06416e-005	2.12831e-005	49981.2	75141.6
12.7	9.57965e-006	1.91593e-005	49981.2	75141.7
12.8	8.62376e-006	1.72475e-005	49981.2	75141.8
12.9	7.7632e-006	1.55264e-005	49981.2	75141.9
13	6.98851e-006	1.3977e-005	49981.2	75142
13.1	6.29113e-006	1.25823e-005	49981.2	75142
13.2	5.66334e-006	1.13267e-005	49981.2	75142.1
13.3	5.09822e-006	1.01964e-005	49981.3	75142.1
13.4	4.58947e-006	9.17894e-006	49981.3	75142.2
13.5	4.13149e-006	8.26298e-006	49981.3	75142.2
13.6	3.71921e-006	7.43842e-006	49981.3	75142.3
13.7	3.34807e-006	6.69615e-006	49981.3	75142.3
13.8	3.01397e-006	6.02794e-006	49981.3	75142.3
13.9	2.71321e-006	5.42643e-006	49981.3	75142.4
14	2.44248e-006	4.88495e-006	49981.3	75142.4
14.1	2.19874e-006	4.39749e-006	49981.3	75142.4
14.2	1.97933e-006	3.95867e-006	49981.3	75142.4
14.3	1.78182e-006	3.56364e-006	49981.3	75142.5
14.4	1.60402e-006	3.20804e-006	49981.3	75142.5
14.5	1.44396e-006	2.88791e-006	49981.3	75142.5
14.6	1.29987e-006	2.59974e-006	49981.3	75142.5
14.7	1.17016e-006	2.34032e-006	49981.3	75142.5
14.8	1.05339e-006	2.10678e-006	49981.3	75142.5
14.9	9.48272e-007	1.89654e-006	49981.3	75142.5
15	8.53644e-007	1.70729e-006	49981.3	75142.5
15.1	7.68459e-007	1.53692e-006	49981.3	75142.6
15.2	6.91775e-007	1.38355e-006	49981.3	75142.6
15.3	6.22742e-007	1.24548e-006	49981.3	75142.6
15.4	5.60599e-007	1.1212e-006	49981.3	75142.6
15.5	5.04657e-007	1.00931e-006	49981.3	75142.6
15.6	4.54298e-007	9.08597e-007	49981.3	75142.6
15.7	4.08967e-007	8.17935e-007	49981.3	75142.6
15.8	3.68157e-007	7.36313e-007	49981.3	75142.6
15.9	3.31419e-007	6.62837e-007	49981.3	75142.6
16	2.98346e-007	5.96693e-007	49981.3	75142.6
16.1	2.68575e-007	5.37151e-007	49981.3	75142.6
16.2	2.41775e-007	4.8355e-007	49981.3	75142.6
16.3	2.17646e-007	4.35292e-007	49981.3	75142.6
16.4	1.95928e-007	3.91856e-007	49981.3	75142.6
16.5	1.76376e-007	3.52753e-007	49981.3	75142.6
16.6	1.58776e-007	3.17552e-007	49981.3	75142.6
16.7	1.42932e-007	2.85863e-007	49981.3	75142.6
16.8	1.28669e-007	2.57337e-007	49981.3	75142.6
16.9	1.15829e-007	2.31657e-007	49981.3	75142.6
17	1.0427e-007	2.0854e-007	49981.3	75142.6
17.1	9.38652e-008	1.8773e-007	49981.3	75142.6
17.2	8.44984e-008	1.68997e-007	49981.3	75142.6
17.3	7.60664e-008	1.52133e-007	49981.3	75142.6
17.4	6.8476e-008	1.36952e-007	49981.3	75142.6
17.5	6.16429e-008	1.23286e-007	49981.3	75142.6
