Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt_out	0.25	1.87	0.406908
1_1	1	Ccpt_out	0.5	1.76	0.387877
1_1	1	Ccpt_out	1	0.99	0.34544
1_1	1	Ccpt_out	2	0.7	0.273931
1_1	1	Ccpt_out	4	0.08	0.172258

1_1	1	Ctot_out	0.25	2.6	0.629715
1_1	1	Ctot_out	0.5	3.126	0.600263
1_1	1	Ctot_out	1	1.148	0.53459
1_1	1	Ctot_out	2	1.294	0.423925
1_1	1	Ctot_out	4	0.08	0.26658

1_1	1	Qu_out	2.05	5069	6632.65
1_1	1	Qu_out	4.3	10300.6	11213.3
1_1	1	Qu_out	5.88	15184.7	13264.5
1_1	1	Qu_out	9.3	16167	15802.3
1_1	1	Qu_out	14.55	16545	17278.4

1_1	1	Qu_tot_out	2.05	8662.13	8508.09
1_1	1	Qu_tot_out	4.3	13893.7	14416.7
1_1	1	Qu_tot_out	5.88	18892.8	17062.6
1_1	1	Qu_tot_out	9.3	19889.7	20336.1
1_1	1	Qu_tot_out	14.55	20321.6	22240.1

1_1	1	Ccpt	0		0
1_1	1	Ccpt	0.1		0.357809
1_1	1	Ccpt	0.2		0.405308
1_1	1	Ccpt	0.3		0.404691
1_1	1	Ccpt	0.4		0.396763
1_1	1	Ccpt	0.5		0.387877
1_1	1	Ccpt	0.6		0.379016
1_1	1	Ccpt	0.7		0.370332
1_1	1	Ccpt	0.8		0.361842
1_1	1	Ccpt	0.9		0.353546
1_1	1	Ccpt	1		0.34544
1_1	1	Ccpt	1.1		0.33752
1_1	1	Ccpt	1.2		0.329782
1_1	1	Ccpt	1.3		0.322221
1_1	1	Ccpt	1.4		0.314834
1_1	1	Ccpt	1.5		0.307615
1_1	1	Ccpt	1.6		0.300562
1_1	1	Ccpt	1.7		0.293671
1_1	1	Ccpt	1.8		0.286938
1_1	1	Ccpt	1.9		0.280359
1_1	1	Ccpt	2		0.273931
1_1	1	Ccpt	2.1		0.267651
1_1	1	Ccpt	2.2		0.261514
1_1	1	Ccpt	2.3		0.255518
1_1	1	Ccpt	2.4		0.24966
1_1	1	Ccpt	2.5		0.243936
1_1	1	Ccpt	2.6		0.238343
1_1	1	Ccpt	2.7		0.232879
1_1	1	Ccpt	2.8		0.227539
1_1	1	Ccpt	2.9		0.222323
1_1	1	Ccpt	3		0.217225
1_1	1	Ccpt	3.1		0.212245
1_1	1	Ccpt	3.2		0.207379
1_1	1	Ccpt	3.3		0.202624
1_1	1	Ccpt	3.4		0.197979
1_1	1	Ccpt	3.5		0.19344
1_1	1	Ccpt	3.6		0.189005
1_1	1	Ccpt	3.7		0.184671
1_1	1	Ccpt	3.8		0.180437
1_1	1	Ccpt	3.9		0.1763
1_1	1	Ccpt	4		0.172258
1_1	1	Ccpt	4.1		0.168309
1_1	1	Ccpt	4.2		0.16445
1_1	1	Ccpt	4.3		0.16068
1_1	1	Ccpt	4.4		0.156996
1_1	1	Ccpt	4.5		0.153396
1_1	1	Ccpt	4.6		0.14988
1_1	1	Ccpt	4.7		0.146443
1_1	1	Ccpt	4.8		0.143086
1_1	1	Ccpt	4.9		0.139805
1_1	1	Ccpt	5		0.1366
1_1	1	Ccpt	5.1		0.133468
1_1	1	Ccpt	5.2		0.130408
1_1	1	Ccpt	5.3		0.127418
1_1	1	Ccpt	5.4		0.124497
1_1	1	Ccpt	5.5		0.121642
1_1	1	Ccpt	5.6		0.118853
1_1	1	Ccpt	5.7		0.116128
1_1	1	Ccpt	5.8		0.113466
1_1	1	Ccpt	5.9		0.110864
1_1	1	Ccpt	6		0.108323
1_1	1	Ccpt	6.1		0.105839
1_1	1	Ccpt	6.2		0.103412
1_1	1	Ccpt	6.3		0.101042
1_1	1	Ccpt	6.4		0.0987249
1_1	1	Ccpt	6.5		0.0964615
1_1	1	Ccpt	6.6		0.0942499
1_1	1	Ccpt	6.7		0.092089
1_1	1	Ccpt	6.8		0.0899777
1_1	1	Ccpt	6.9		0.0879148
1_1	1	Ccpt	7		0.0858991
1_1	1	Ccpt	7.1		0.0839297
1_1	1	Ccpt	7.2		0.0820054
1_1	1	Ccpt	7.3		0.0801253
1_1	1	Ccpt	7.4		0.0782883
1_1	1	Ccpt	7.5		0.0764933
1_1	1	Ccpt	7.6		0.0747396
1_1	1	Ccpt	7.7		0.073026
1_1	1	Ccpt	7.8		0.0713517
1_1	1	Ccpt	7.9		0.0697159
1_1	1	Ccpt	8		0.0681175
1_1	1	Ccpt	8.1		0.0665557
1_1	1	Ccpt	8.2		0.0650298
1_1	1	Ccpt	8.3		0.0635389
1_1	1	Ccpt	8.4		0.0620821
1_1	1	Ccpt	8.5		0.0606588
1_1	1	Ccpt	8.6		0.059268
1_1	1	Ccpt	8.7		0.0579092
1_1	1	Ccpt	8.8		0.0565815
1_1	1	Ccpt	8.9		0.0552843
1_1	1	Ccpt	9		0.0540167
1_1	1	Ccpt	9.1		0.0527783
1_1	1	Ccpt	9.2		0.0515683
1_1	1	Ccpt	9.3		0.0503859
1_1	1	Ccpt	9.4		0.0492307
1_1	1	Ccpt	9.5		0.048102
1_1	1	Ccpt	9.6		0.0469992
1_1	1	Ccpt	9.7		0.0459216
1_1	1	Ccpt	9.8		0.0448688
1_1	1	Ccpt	9.9		0.0438401
1_1	1	Ccpt	10		0.042835
1_1	1	Ccpt	10.1		0.0418529
1_1	1	Ccpt	10.2		0.0408933
1_1	1	Ccpt	10.3		0.0399557
1_1	1	Ccpt	10.4		0.0390397
1_1	1	Ccpt	10.5		0.0381446
1_1	1	Ccpt	10.6		0.0372701
1_1	1	Ccpt	10.7		0.0364156
1_1	1	Ccpt	10.8		0.0355807
1_1	1	Ccpt	10.9		0.0347649
1_1	1	Ccpt	11		0.0339678
1_1	1	Ccpt	11.1		0.0331891
1_1	1	Ccpt	11.2		0.0324281
1_1	1	Ccpt	11.3		0.0316847
1_1	1	Ccpt	11.4		0.0309582
1_1	1	Ccpt	11.5		0.0302484
1_1	1	Ccpt	11.6		0.0295549
1_1	1	Ccpt	11.7		0.0288773
1_1	1	Ccpt	11.8		0.0282152
1_1	1	Ccpt	11.9		0.0275684
1_1	1	Ccpt	12		0.0269363
1_1	1	Ccpt	12.1		0.0263187
1_1	1	Ccpt	12.2		0.0257153
1_1	1	Ccpt	12.3		0.0251257
1_1	1	Ccpt	12.4		0.0245497
1_1	1	Ccpt	12.5		0.0239868
1_1	1	Ccpt	12.6		0.0234369
1_1	1	Ccpt	12.7		0.0228995
1_1	1	Ccpt	12.8		0.0223745
1_1	1	Ccpt	12.9		0.0218615
1_1	1	Ccpt	13		0.0213603
1_1	1	Ccpt	13.1		0.0208706
1_1	1	Ccpt	13.2		0.0203921
1_1	1	Ccpt	13.3		0.0199246
1_1	1	Ccpt	13.4		0.0194677
1_1	1	Ccpt	13.5		0.0190214
1_1	1	Ccpt	13.6		0.0185853
1_1	1	Ccpt	13.7		0.0181592
1_1	1	Ccpt	13.8		0.0177429
1_1	1	Ccpt	13.9		0.0173361
1_1	1	Ccpt	14		0.0169386
1_1	1	Ccpt	14.1		0.0165502
1_1	1	Ccpt	14.2		0.0161708
1_1	1	Ccpt	14.3		0.0158001
1_1	1	Ccpt	14.4		0.0154378
1_1	1	Ccpt	14.5		0.0150839
1_1	1	Ccpt	14.6		0.014738
1_1	1	Ccpt	14.7		0.0144001
1_1	1	Ccpt	14.8		0.01407
1_1	1	Ccpt	14.9		0.0137474
1_1	1	Ccpt	15		0.0134322
1_1	1	Ccpt	15.1		0.0131242
1_1	1	Ccpt	15.2		0.0128233
1_1	1	Ccpt	15.3		0.0125293
1_1	1	Ccpt	15.4		0.0122421
1_1	1	Ccpt	15.5		0.0119614
1_1	1	Ccpt	15.6		0.0116872
1_1	1	Ccpt	15.7		0.0114192
1_1	1	Ccpt	15.8		0.0111574
1_1	1	Ccpt	15.9		0.0109016
1_1	1	Ccpt	16		0.0106517
1_1	1	Ccpt	16.1		0.0104074
1_1	1	Ccpt	16.2		0.0101688
1_1	1	Ccpt	16.3		0.00993569
1_1	1	Ccpt	16.4		0.0097079
1_1	1	Ccpt	16.5		0.00948532
1_1	1	Ccpt	16.6		0.00926785
1_1	1	Ccpt	16.7		0.00905537
1_1	1	Ccpt	16.8		0.00884775
1_1	1	Ccpt	16.9		0.0086449
1_1	1	Ccpt	17		0.0084467
1_1	1	Ccpt	17.1		0.00825304
1_1	1	Ccpt	17.2		0.00806382
