Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Ccpt_out	0.25	1.87	0.918747
1_1	1	Ccpt_out	0.5	1.76	0.864691
1_1	1	Ccpt_out	1	0.99	0.765934
1_1	1	Ccpt_out	2	0.7	0.600968
1_1	1	Ccpt_out	4	0.08	0.369973

1_1	1	Ctot_out	0.25	2.6	1.02923
1_1	1	Ctot_out	0.5	3.126	0.968673
1_1	1	Ctot_out	1	1.148	0.858039
1_1	1	Ctot_out	2	1.294	0.673236
1_1	1	Ctot_out	4	0.08	0.414463

1_1	1	Qu_out	2.05	5069	6545.06
1_1	1	Qu_out	4.3	10300.6	10853.9
1_1	1	Qu_out	5.88	15184.7	12743.5
1_1	1	Qu_out	9.3	16167	15024.5
1_1	1	Qu_out	14.55	16545	16295.6

1_1	1	Qu_tot_out	2.05	8662.13	8715.39
1_1	1	Qu_tot_out	4.3	13893.7	14848.8
1_1	1	Qu_tot_out	5.88	18892.8	17539.4
1_1	1	Qu_tot_out	9.3	19889.7	20787.2
1_1	1	Qu_tot_out	14.55	20321.6	22597.1

1_1	1	Ccpt	0		0
1_1	1	Ccpt	0.1		0.952272
1_1	1	Ccpt	0.2		0.929957
1_1	1	Ccpt	0.3		0.907672
1_1	1	Ccpt	0.4		0.885921
1_1	1	Ccpt	0.5		0.864691
1_1	1	Ccpt	0.6		0.84397
1_1	1	Ccpt	0.7		0.823746
1_1	1	Ccpt	0.8		0.804006
1_1	1	Ccpt	0.9		0.784739
1_1	1	Ccpt	1		0.765934
1_1	1	Ccpt	1.1		0.747579
1_1	1	Ccpt	1.2		0.729664
1_1	1	Ccpt	1.3		0.712179
1_1	1	Ccpt	1.4		0.695113
1_1	1	Ccpt	1.5		0.678455
1_1	1	Ccpt	1.6		0.662197
1_1	1	Ccpt	1.7		0.646329
1_1	1	Ccpt	1.8		0.63084
1_1	1	Ccpt	1.9		0.615723
1_1	1	Ccpt	2		0.600968
1_1	1	Ccpt	2.1		0.586566
1_1	1	Ccpt	2.2		0.572509
1_1	1	Ccpt	2.3		0.55879
1_1	1	Ccpt	2.4		0.545399
1_1	1	Ccpt	2.5		0.53233
1_1	1	Ccpt	2.6		0.519573
1_1	1	Ccpt	2.7		0.507122
1_1	1	Ccpt	2.8		0.49497
1_1	1	Ccpt	2.9		0.483109
1_1	1	Ccpt	3		0.471532
1_1	1	Ccpt	3.1		0.460232
1_1	1	Ccpt	3.2		0.449203
1_1	1	Ccpt	3.3		0.438439
1_1	1	Ccpt	3.4		0.427932
1_1	1	Ccpt	3.5		0.417678
1_1	1	Ccpt	3.6		0.407668
1_1	1	Ccpt	3.7		0.397899
1_1	1	Ccpt	3.8		0.388363
1_1	1	Ccpt	3.9		0.379056
1_1	1	Ccpt	4		0.369973
1_1	1	Ccpt	4.1		0.361106
1_1	1	Ccpt	4.2		0.352452
1_1	1	Ccpt	4.3		0.344006
1_1	1	Ccpt	4.4		0.335762
1_1	1	Ccpt	4.5		0.327716
1_1	1	Ccpt	4.6		0.319863
1_1	1	Ccpt	4.7		0.312197
1_1	1	Ccpt	4.8		0.304716
1_1	1	Ccpt	4.9		0.297413
1_1	1	Ccpt	5		0.290286
1_1	1	Ccpt	5.1		0.28333
1_1	1	Ccpt	5.2		0.27654
1_1	1	Ccpt	5.3		0.269913
1_1	1	Ccpt	5.4		0.263445
1_1	1	Ccpt	5.5		0.257132
1_1	1	Ccpt	5.6		0.25097
1_1	1	Ccpt	5.7		0.244956
1_1	1	Ccpt	5.8		0.239086
1_1	1	Ccpt	5.9		0.233357
1_1	1	Ccpt	6		0.227765
1_1	1	Ccpt	6.1		0.222306
1_1	1	Ccpt	6.2		0.216979
1_1	1	Ccpt	6.3		0.21178
1_1	1	Ccpt	6.4		0.206705
1_1	1	Ccpt	6.5		0.201751
1_1	1	Ccpt	6.6		0.196917
1_1	1	Ccpt	6.7		0.192198
1_1	1	Ccpt	6.8		0.187592
1_1	1	Ccpt	6.9		0.183097
1_1	1	Ccpt	7		0.178709
1_1	1	Ccpt	7.1		0.174427
1_1	1	Ccpt	7.2		0.170247
1_1	1	Ccpt	7.3		0.166167
1_1	1	Ccpt	7.4		0.162185
1_1	1	Ccpt	7.5		0.158298
1_1	1	Ccpt	7.6		0.154505
1_1	1	Ccpt	7.7		0.150803
